plz	from	to	area_sq_km	fromPerSqKm	toPerSqKm
12589	13	16	21.0782398418541	0.616749790188197	0.759076664847012
12619	199	189	2.59422550997982	76.7088286020086	72.8541135968825
12621	141	136	8.21636256195975	17.1608785440901	16.5523367517464
12623	148	152	13.3654599971827	11.0733188405934	11.372597728177
12627	194	181	3.94825094141235	49.1356813127494	45.8430841113796
12629	50	50	1.68344210551533	29.7010511001174	29.7010511001174
12679	108	97	2.79830858644306	38.5947427396774	34.6637967198954
12681	134	134	8.71735166743259	15.3716409652962	15.3716409652962
12683	219	237	12.6648668610157	17.2919306932562	18.7131852707841
12685	65	63	3.45872617913558	18.7930459462521	18.2147983786751
12687	49	45	1.42841060899223	34.3038617128239	31.5035464709608
12689	72	73	2.72924163097525	26.3809547615144	26.7473569109799
13051	160	162	8.08994367684313	19.7776407835803	20.024861293375
13053	216	210	6.50753900285171	33.1922712880162	32.2702637522379
13055	145	144	3.16969677893606	45.7457006498491	45.4302130591605
13057	126	117	4.95291003548016	25.4395898769409	23.6224763143022
13059	126	146	6.35466626674196	19.8279492126028	22.9752427384128
13086	239	238	3.1890072559961	74.9449533395143	74.6313761288887
13088	249	249	6.77706263613662	36.7415816215544	36.7415816215544
13089	56	49	3.83053950035658	14.6193506149165	12.7919317880519
13125	139	140	22.3040301834222	6.23205756344939	6.27689250994902
13127	99	101	14.9514970711072	6.62141052024221	6.75517638933801
13129	58	61	6.69679235361241	8.66086283363906	9.10883849744798
13156	155	145	5.8506816066279	26.4926397335328	24.7834371700791
13158	163	170	6.8576796130481	23.7689727717609	24.789726203677
13159	32	34	12.5215672985193	2.55559062512758	2.71531503919805
13187	71	73	3.30319390326325	21.4943482215375	22.0998228193273
13189	69	67	2.50456116171452	27.5497364786913	26.7511933923524
13347	77	75	1.62744262906316	47.3134958031209	46.0845738342087
13349	39	33	1.47618856746555	26.4193889991701	22.3548676146824
13351	45	43	2.61210779295863	17.2274666923413	16.461801506015
13353	166	174	3.00540975632986	55.2337329877824	57.8955996377961
13355	134	134	1.72355642196824	77.7462218770749	77.7462218770749
13357	85	79	1.97923713166751	42.945839404492	39.9143683877043
13359	54	50	1.70110670529583	31.7440404131552	29.3926300121807
13403	141	146	3.48652014168453	40.4414700819354	41.875564765692
13405	65	64	8.51985497731935	7.62923784184544	7.5118649519709
13407	133	143	4.45467254760389	29.8562910244747	32.1011249360893
13409	187	180	2.49185922349515	75.0443677703867	72.2352203137412
13435	83	84	2.09496011934666	39.6188926144736	40.0962286700697
13437	82	89	4.34449848679934	18.874445519812	20.4856786739423
13439	115	115	2.01273773054862	57.1361078269516	57.1361078269516
13465	32	34	7.95590450944507	4.02216994460031	4.27355556613782
13467	45	41	5.71805058563155	7.86981495285772	7.17027584593704
13469	163	157	7.71607759264578	21.1247227678679	20.3471256107685
13503	37	35	16.7228857557248	2.21253679182336	2.09294020848156
13505	45	54	10.3849966294637	4.33317425181717	5.1998091021806
13507	106	105	8.60109803613239	12.3240078830289	12.2077436577173
13509	100	93	4.49790515682988	22.2325719447762	20.6762919086418
13581	95	92	3.91459749904185	24.2681399615803	23.5017776470041
13583	135	135	2.34863131214719	57.4802861997863	57.4802861997863
13585	166	140	2.6692941749141	62.1887244800741	52.4483218506649
13587	125	117	17.6818586480409	7.06939256150254	6.61695143756638
13589	182	183	6.6910464335062	27.2005286181566	27.3499820721025
13591	444	429	8.8650915071172	50.0840853863202	48.3920554746202
13593	104	100	4.52623769076904	22.9771406420173	22.0934044634782
13595	133	117	5.29077422495961	25.1380978180023	22.1139657496712
13597	105	118	5.76823871372717	18.2031301426764	20.456851017484
13599	108	116	6.95686526257437	15.5242333901454	16.6741766042303
13627	97	115	4.95438656084298	19.5786095430341	23.2117535819476
