runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
kelheim;130;32;332.53;744;714.1;403.75;309;87.5;100;449.38;2069.37;1701.44;781.91;2;1;0.03
kelheim;131;19;283.74;682;682;354;249;89.47;100;378.16;1811.61;1806.26;661.89;2;4;0.17
kelheim;132;30;351.17;860;826.45;441;310;90;100;433.27;1971.42;1725.88;784.43;2;2;0.06
kelheim;133;34;388.44;1190;940.25;544.5;326;76.47;97.06;431.47;1970.76;1673.68;819.91;2;2;0.06
kelheim;134;38;370.66;1195;1155.1;383.25;319;84.21;92.11;382.82;1764.54;1632.71;753.47;2;1;0.03
kelheim;135;25;292.12;674;631.1;406;263;96;100;323.44;1501.48;1416.01;615.56;2;1;0.04
kelheim;136;33;355.67;851;757.9;464.5;336;84.85;100;397.82;1780.47;1562.13;753.48;2;0;0
kelheim;137;28;266.57;709;677.95;351.75;229;92.86;100;337.5;1544.22;1442.18;604.07;2;2;0.07
kelheim;138;26;277;603;597.4;382.75;240;96.15;100;381.92;1779.91;1645.56;658.92;2;0;0
kelheim;139;29;268.28;644;555.5;361;229;96.55;100;374.14;1705.42;1557.16;642.41;2;2;0.06
kelheim;140;36;368.19;1102;971.1;451;304;86.11;94.44;341.22;1547.73;1359.34;709.42;2;1;0.03
kelheim;141;27;304.26;776;741.2;414;317;92.59;100;404.74;1841.06;1424.03;709;2;1;0.04
kelheim;142;28;355.21;737;727.55;515.75;325.5;85.71;100;418.5;1918.97;1750.47;773.71;2;0;0
kelheim;143;26;329.27;1041;905.9;436;288;92.31;96.15;369.73;1769.14;1766.84;699;2;2;0.07
kelheim;144;28;307.79;844;745.9;370.75;274;89.29;100;406.64;1873.93;1679.11;714.43;2;2;0.07
kelheim;145;22;329.18;715;698.65;448;331;90.91;100;344.23;1616.51;1524.76;673.41;2;1;0.04
kelheim;146;22;318.64;612;607.2;413;323;95.45;100;357.18;1672.92;1576.19;675.82;2;0;0
kelheim;147;20;361.1;895;883.2;486.5;324.5;85;100;325.3;1558.54;1558.7;686.4;2;0;0
kelheim;148;22;288.18;849;815.55;396;264.5;90.91;100;339.59;1634.07;1634.17;627.77;2;1;0.04
kelheim;149;26;281.12;777;755.3;373.25;253;92.31;100;445.81;2052.18;1857.89;726.92;2;0;0
kelheim;150;38;325.97;932;811.35;394.5;289.5;86.84;97.37;339.89;1559.88;1338.37;665.87;2;0;0
kelheim;151;33;298.91;619;560.2;403;304;96.97;100;346.09;1613.49;1573.19;645;2;0;0
kelheim;152;32;344.22;654;646.2;466.25;347.5;87.5;100;395.06;1794.12;1660.39;739.28;2;2;0.06
kelheim;153;23;319.78;1115;1073.2;395;254;86.96;91.3;387.39;1800.69;1630.57;707.17;2;2;0.08
kelheim;154;23;256.57;569;557.8;396;192;100;100;445.87;2039.72;1548.06;702.43;2;2;0.08
kelheim;155;24;321.46;747;707;479.5;322.5;95.83;100;343.29;1566.98;1454.75;664.75;2;1;0.04
kelheim;156;30;243.63;531;504.6;415.5;196;100;100;295.23;1377.73;1316.32;538.87;2;1;0.03
kelheim;157;35;396.66;1181;969.8;581;368;82.86;94.29;473.97;2148.02;1833.7;870.63;2;2;0.05
kelheim;158;30;284.4;618;588.3;331;268;96.67;100;357.37;1653.19;1497.25;641.77;2;1;0.03
kelheim;159;32;305.91;640;554.2;427.25;321.5;96.88;100;410.5;1901.42;1737.63;716.41;2;1;0.03
kelheim;160;22;343.14;724;710.2;402;314;86.36;100;381.68;1734.25;1563.94;724.82;2;2;0.08
kelheim;161;38;364.79;1119;748.5;478;321.5;92.11;97.37;461.82;2053.63;1686.5;826.61;2;2;0.05
kelheim;162;19;262.68;707;707;456;180;89.47;100;481.53;2246.51;1889.2;744.21;2;0;0
kelheim;163;34;346.29;701;683;470;299.5;85.29;100;391.21;1794.63;1481.35;737.5;2;3;0.08
kelheim;164;32;378.31;1019;851.95;511.25;350.5;84.38;96.88;405.47;1822.64;1520.97;783.78;2;3;0.09
kelheim;165;24;415.17;1139;1074.75;604;353;75;95.83;450.54;2060.99;1860.13;865.71;2;0;0
kelheim;166;25;388.92;845;842.6;549.5;364;88;100;458.48;2070.31;1808.12;847.4;2;1;0.04
kelheim;167;36;425.39;1170;1128.35;549;368.5;83.33;91.67;524.5;2298.27;1639.29;949.89;2;0;0
kelheim;168;27;327.59;821;757;426;272;92.59;100;350.22;1612.56;1475.26;677.81;2;2;0.07
kelheim;169;24;299.42;922;829.75;405.5;248;95.83;95.83;436.29;1995.35;1812.77;735.71;2;2;0.08
kelheim;170;28;329.21;683;645.65;390.75;337.5;92.86;100;397.04;1784.12;1449.24;726.25;2;4;0.12
kelheim;171;31;332.13;910;832;415;324;90.32;96.77;442.87;2015.81;1637.44;775;2;4;0.11
kelheim;172;26;303.15;611;584.4;437.75;300.5;96.15;100;438.54;2056.69;1888.21;741.69;2;6;0.19
kelheim;173;27;271.11;1142;881.2;353;248;96.3;96.3;359.04;1699.26;1627.16;630.15;2;2;0.07
kelheim;174;24;300.54;587;575;412;333;100;100;371.42;1761.88;1706.32;671.96;2;2;0.08
kelheim;175;23;278.83;554;553.2;352;258;100;100;387.61;1780.68;1560.48;666.43;2;2;0.08
kelheim;176;21;343.57;707;702.8;433;330;85.71;100;396.38;1882.24;1795.03;739.95;2;0;0
kelheim;177;24;363.38;1103;1100.75;492.75;295;79.17;91.67;392.29;1826.95;1759.09;755.67;2;2;0.08
kelheim;178;25;403.36;818;786.2;634;356;68;100;402.24;1845.06;1719.33;805.6;2;1;0.04
kelheim;179;25;300.12;786;744.9;395;277;92;100;472.52;2109.87;1508.4;772.64;2;2;0.07
kelheim;180;25;285.12;991;886.9;356;224;92;96;323.56;1507.49;1409.69;608.68;2;1;0.04
kelheim;181;28;286.36;839;715.7;365.75;287.5;96.43;100;395.5;1755.06;1439.68;681.86;2;4;0.12
kelheim;182;18;343.28;567;567;423.5;369.5;100;100;310.78;1493.4;1493.57;654.06;2;0;0
kelheim;183;18;294.22;605;605;395.5;270.5;94.44;100;501.28;2325.59;1992.23;795.5;2;0;0
kelheim;184;38;308.66;724;686.95;429.75;295;89.47;100;470.05;2135.42;1807.09;778.71;2;1;0.03
kelheim;185;32;338.91;877;721.65;400.5;347;93.75;100;351.97;1651.31;1617.8;690.88;2;0;0
kelheim;186;34;418.82;1158;1114.5;546;333.5;76.47;91.18;408.44;1893.78;1758.04;827.26;2;1;0.03
kelheim;187;30;289.83;1123;1014.65;354;216;90;93.33;367.43;1739.98;1650.06;657.27;2;3;0.09
kelheim;188;31;370.42;996;877.8;509;356;83.87;96.77;374.42;1697.6;1541.36;744.84;2;1;0.03
kelheim;189;23;295.43;653;652.2;453;224;82.61;100;315.52;1515.63;1515.63;610.96;2;1;0.04
kelheim;190;24;278.21;799;743.5;359.5;213.5;95.83;100;406.83;1881.28;1740.45;685.04;2;0;0
kelheim;191;31;385.65;822;757.2;590;376;77.42;100;353.55;1642.73;1597.46;739.19;2;0;0
kelheim;192;28;262.93;612;602.55;384.5;218.5;96.43;100;342.39;1615.77;1509.81;605.32;2;0;0
kelheim;193;24;340.79;1159;1081.5;500.25;246;83.33;95.83;339;1631.34;1617.17;679.79;2;0;0
kelheim;194;24;353.75;739;698;452.25;352;95.83;100;320;1520;1490.68;673.75;2;3;0.11
kelheim;195;27;317.04;742;717.6;449;294;88.89;100;448.63;2065.68;1802.4;765.67;2;1;0.04
kelheim;196;32;334.75;913;755.05;462.75;291.5;90.62;96.88;381.38;1752.4;1527.52;716.12;2;3;0.09
kelheim;197;28;388.86;698;689;524.25;383;85.71;100;385.89;1829.02;1797.21;774.75;2;0;0
kelheim;198;28;328.43;1183;967;457.5;303.5;82.14;96.43;349.39;1615.62;1471.2;677.82;2;2;0.07
kelheim;199;24;407.54;858;849.5;633;336;70.83;100;373.25;1722.9;1652.75;780.79;2;4;0.14
kelheim;200;31;320.23;864;688.2;423;328;96.77;100;392.94;1817.51;1615.64;713.16;2;4;0.11
kelheim;201;8;295.12;657;657;378.5;249;87.5;100;377.38;1808.17;1808.17;672.5;2;0;0
kelheim;202;8;295.12;657;657;378.5;249;87.5;100;377.38;1808.17;1808.17;672.5;2;0;0
kelheim;203;8;295.38;657;657;378.5;250;87.5;100;377.12;1808.17;1808.17;672.5;2;0;0
kelheim;204;8;295.38;657;657;378.5;250;87.5;100;377.12;1808.17;1808.17;672.5;2;0;0
kelheim;205;8;295.38;657;657;378.5;250;87.5;100;377.12;1808.17;1808.17;672.5;2;0;0
kelheim;206;8;295.38;657;657;378.5;250;87.5;100;377.12;1808.17;1808.17;672.5;2;0;0
kelheim;207;9;287.33;657;657;394;274;88.89;100;398.89;1917.76;1917.76;686.22;2;0;0
kelheim;208;8;295.12;657;657;378.5;249;87.5;100;377.38;1808.17;1808.17;672.5;2;0;0
kelheim;209;8;295.12;657;657;378.5;249;87.5;100;378.5;1808.17;1808.17;673.62;2;0;0
kelheim;210;8;295.12;657;657;378.5;249;87.5;100;378.5;1808.17;1808.17;673.62;2;0;0
kelheim;211;8;295.12;657;657;378.5;249;87.5;100;378.5;1808.17;1808.17;673.62;2;0;0
kelheim;212;8;295.12;657;657;378.5;249;87.5;100;378.5;1808.17;1808.17;673.62;2;0;0
kelheim;213;8;295.12;657;657;378.5;249;87.5;100;378.5;1808.17;1808.17;673.62;2;0;0
kelheim;214;8;295.75;657;657;378.5;251.5;87.5;100;377.88;1808.17;1808.17;673.62;2;0;0
kelheim;215;8;295.75;657;657;378.5;251.5;87.5;100;377.88;1808.17;1808.17;673.62;2;0;0
kelheim;216;8;295.12;657;657;378.5;249;87.5;100;378.5;1808.17;1808.17;673.62;2;0;0
kelheim;217;8;295.12;657;657;378.5;249;87.5;100;378.5;1808.17;1808.17;673.62;2;0;0
kelheim;218;8;295.12;657;657;378.5;249;87.5;100;377.38;1808.17;1808.17;672.5;2;0;0
kelheim;219;8;295.12;657;657;378.5;249;87.5;100;377.38;1808.17;1808.17;672.5;2;0;0
kelheim;220;8;295.75;657;657;378.5;251.5;87.5;100;376.75;1808.17;1808.17;672.5;2;0;0
kelheim;221;8;295.12;657;657;378.5;249;87.5;100;377.38;1808.17;1808.17;672.5;2;0;0
kelheim;222;8;295.12;657;657;378.5;249;87.5;100;377.38;1808.17;1808.17;672.5;2;0;0
kelheim;223;8;295.12;657;657;378.5;249;87.5;100;377.38;1808.17;1808.17;672.5;2;0;0
kelheim;224;8;295.12;657;657;378.5;249;87.5;100;377.38;1808.17;1808.17;672.5;2;0;0
kelheim;225;8;295.75;657;657;378.5;251.5;87.5;100;376.75;1808.17;1808.17;672.5;2;0;0
kelheim;226;7;276.43;657;657;383;220;85.71;100;413.86;1997.71;1997.71;690.29;2;0;0
kelheim;227;7;276.43;657;657;383;220;85.71;100;413.86;1997.71;1997.71;690.29;2;0;0
kelheim;228;7;276.43;657;657;383;220;85.71;100;413.86;1997.71;1997.71;690.29;2;0;0
kelheim;229;7;276.43;657;657;383;220;85.71;100;413.86;1997.71;1997.71;690.29;2;0;0
kelheim;230;7;276.43;657;657;383;220;85.71;100;413.86;1997.71;1997.71;690.29;2;0;0
kelheim;231;7;276.43;657;657;383;220;85.71;100;413.86;1997.71;1997.71;690.29;2;0;0
kelheim;232;7;276.43;657;657;383;220;85.71;100;413.86;1997.71;1997.71;690.29;2;0;0
kelheim;233;7;273.57;657;657;383;220;85.71;100;413.86;1997.71;1997.71;687.43;2;0;0
kelheim;234;7;273.57;657;657;383;220;85.71;100;413.86;1997.71;1997.71;687.43;2;0;0
kelheim;235;7;273.57;657;657;383;220;85.71;100;413.86;1997.71;1997.71;687.43;2;0;0
kelheim;236;7;272.14;647;647;383;220;85.71;100;413.86;1997.71;1997.71;686;2;0;0
kelheim;237;7;272.14;647;647;383;220;85.71;100;413.86;1997.71;1997.71;686;2;0;0
kelheim;238;7;272.14;647;647;383;220;85.71;100;413.86;1997.71;1997.71;686;2;0;0
kelheim;239;7;272.14;647;647;383;220;85.71;100;413.86;1997.71;1997.71;686;2;0;0
kelheim;240;7;272.14;647;647;383;220;85.71;100;413.86;1997.71;1997.71;686;2;0;0
kelheim;241;7;272.14;647;647;383;220;85.71;100;413.86;1997.71;1997.71;686;2;0;0
