link;volume
159547431;4
159547462#0;8
159547462#1;4
159547469;14
159547474#0;101
159547474#1;99
159547474#4;91
159547474#5;89
159547474#6;84
159547474#7;63
159547474#8;63
159547474#9;43
159547479#0;24
159547479#1;14
159547479#2;20
159550521#0;14
159550521#1;9
159550521#2;5
159550521#3;21
159550521#4;44
159582845;20
159652514#0;148
159652514#1;359
159705729#0;0
159705729#1;12
159756101;106
159756104;325
159756105;263
159802713#0;9
159802713#1;9
159802713#2;9
159802713#3;10
159802713#4;68
159821865;3
159821867#0;64
159821867#1;57
159821867#2;45
159821867#3;41
159821867#4;40
159821868;4
159821870;0
159821872#1;7
159821873#0;1
159821873#1;2
159821873#2;1
159821875;1
159821877#0;33
159821877#1;10
159821877#2;6
159821877#3;0
159821878;9
15984725;11
15987540;432
15989071#0;88
15989071#1;87
159901568;8185
159901575;5135
159920748;3584
159984932;5
159984934;0
159984936#0;2
159984936#1;2
160030887;5
160030899#0;300
160030899#1;301
160030899#2;309
160030899#3;322
160037552;23
160037555#0;24
160037555#1;8
160037556;89
160037557#0;33
160037557#1;24
160037557#2;1
160037558;592
160042353#0;103
160042353#2;99
160042353#3;51
160042353#4;4
160042354#0;28
160042354#1;20
160042354#3;7
160042354#4;2
160097994;3
160115670#1;734
160125720#0;1045
160126837;834
160149014;7034
160149982;9
160195601;2
160195604;0
160197215#0;0
160197215#1;11
160250380#0;418
160250380#1;429
160250381;212
160373671;2360
160490705#0;80
160505068;1
160521077;2
160525753;2
160539396;0
160584569;1
160620754;7
160782008;69
160782014;0
160812966;7
160825705;31
160825709;20
160825710;0
161026752;26
161153005;5472
161230849;0
161230850;0
161230853;4
161235131;55
161235135;50
161238454;5
161238455#0;0
161238455#1;0
161238459;0
161238461;4
161238465;2
161238469#0;5
161238469#1;14
161238469#2;18
161238478#0;14
161238478#1;7
161238478#2;1
161276037;3963
161276039;153
161276040;14
161276042;925
161276043#3;63
161276043#4;85
161276044#0;706
161276046#0;1590
161297768;44
161301174#0;83
161301174#1;75
161301174#2;43
161301174#3;36
161301174#4;31
161301182#0;6
161303454#0;904
161303454#3;899
161303454#4;733
161366177;183
161366185;37
161368797;1985
161574254;3
161709812;15
161757094;3002
161765556#0;1098
161765557;2016
161767724#0;1079
161767731;1274
161825633;13
161849902;12
161854067#0;68
161854067#1;73
161854067#3;80
161884332;2
161908095;261
161971731;0
161974539;616
162013417#0;72
162055182;1125
162079402;2
162092152;6
162204885;2
162210640#0;182
162210640#1;195
162229559#1;13
162229559#2;10
162229559#3;4
162243998;15
162252821#0;2349
162252822#0;22
162252822#1;53
162258357;2
162269986;1710
162269987;100
162269988;2166
162269989#0;453
162269991;3393
162275774#0;434
162363658;2
162377459;62
162378116;228
162378117#0;509
162381793#0;9
162381793#1;15
162384783;3600
162537500#0;606
162537504;253
162542682#0;6
162542682#1;1
162564909;4
162602637#0;682
162606639;4
162621302;14
162621303#0;2
162621303#1;0
162649565#0;1239
162649565#1;957
162649566;1121
162795240;2
162817983;5
162853444;1
162853473#0;17
162853473#1;3
162853477;3
162853480#0;2
162853480#1;3
162890277#0;3264
162890277#1;1856
162890277#2;1704
162920150;23
162920153;6
162940585#0;1234
162945844#0;113
162945844#1;129
162945844#2;129
162955387;4
162979460;289
162985148#0;20
162985148#1;0
162985204;28
163232329;132
163232330;195
163232341;13
163232342#0;80
163232342#1;65
163232342#2;47
163232342#3;61
163232343;79
163232362;276
163232363;238
163379450#0;11
163379450#1;18
163583066#0;1186
163583070#0;324
163583072#0;717
163583073#0;4718
163585516;388
163585518;2712
163595036#0;1846
163595039#0;169
163595040#0;371
163595042#0;2665
163595043#0;2725
163630861;3
163630862;529
163630863;431
163642420;1511
163642422#0;659
163642426#0;864
163642427#0;668
163642429#0;71
163642434;1098
163651169#0;189
163651170#0;840
163651171#0;1438
163651174#0;1268
163651174#2;1749
163651175#0;781
163651176;1113
163651177#0;481
163651178#0;1342
163651179;1098
163651621#0;1341
163699625;20
163729353#0;105
163729357;250
163739725;0
163792888;4905
163933921;2
163965356;2
164008710;3
164050232#0;1778
164050232#1;1778
164050232#2;1909
164050233#0;2188
164050233#1;2200
164050233#2;2223
164050891#0;639
164050892#0;921
164051723#0;864
164053880;2
164053882;10
164072836#0;14
164072836#1;243
164072840#0;156
164072840#1;154
164201745;137
164201747#0;35
164201747#1;16
164201747#2;5
164201748#0;9
164201748#1;0
164243185;0
164243191#0;108
164243191#1;46
164243191#2;35
164382915#1;595
164382917#0;1797
164634869;17
164834988#0;2
164834988#1;1
164834988#2;0
164894974;4
164902565;57
164902568#0;65
164902568#1;69
164902568#2;75
164902568#3;84
164960061;1178
165028688;21
165051375;1267
165051377#0;676
165051379;857
165051381;599
165051382#0;672
165060630#1;11
165183039;5
165349752;2740
165349764#0;1180
165393336;1458
165415780#0;7
165415780#1;9
165584265;94
165584267;374
165584268;408
165584269;565
165620236;4673
165756695;30
165767502;98
165892359;337
165950138;4526
165950143;5542
165980961#1;43
166069158;129
166142242#0;3523
166142242#4;3626
166273427;5310
166290856;156
166300903;1028
166300904;1024
166456876;4
166472194;2178
166549394;65
166606282;3
166611560;4
166627337;1
166627338;783
166627339;373
166627341;706
166738685;8
166738701;23
166738706;24
166739209#0;117
166748558;145
166748565;84
166748566;13
166762844#0;5
166762844#1;6
166762860;174
166762872;24
166762875;20
166762876;24
166762889#0;166
166762889#1;167
166762893;275
166813108#0;8
166813108#1;21
166961854;686
166961855;717
166961856#0;4609
166961856#1;4610
166977163#0;621
166977163#1;572
166999919;119
167057083;877
167187282;0
167187283;7
167189519;1
167250513;35
167326120;78
167329998;1489
167380006;1
167380011;11
167386818;1
167386830#0;0
167386830#1;12
167389628#0;3
167389628#1;0
167389628#2;3
167389628#3;2
167389628#4;0
167389628#5;0
167513951#1;4
167513952#0;2
167513952#2;1
167513954;13
167514062;13
167599984;2
167855228;16
167862966;44
16795430#0;2
16795430#1;6
16795430#2;9
16795840#0;511
16797527;16
16798717;9
16801768#0;56
16801768#2;58
16801768#3;59
16801879;64
16802545;4
16802642;5
16804388#0;81
16804388#1;75
16805686#0;58
16805686#1;55
16805686#2;52
16805686#3;48
16805686#4;43
16805901;4
16805919;10
16805948;20
168074874;2
168074875;2
16808623#1;101
16808789#1;22
16808789#2;14
16808875;5
16808908;3
16809250;3
16809588#0;13
16809588#1;21
16809588#2;28
16811292#0;17
16811292#1;127
16811411;110
16812062#0;51
16812062#2;47
16812062#3;29
16812062#4;18
16812955#0;5
16812955#1;10
16813104#0;26
16813104#1;56
16813104#2;17
16813362#0;22
16813362#1;18
16814570#0;214
168276240;7
168276241#0;12
168276241#1;1
168276242;1
168276243;1
168363491;1189
168363492;1199
168389240#1;90
168389240#2;84
168389240#3;78
168389240#4;74
168389240#5;70
168560017;438
168713635;308
168713637;183
168713639;962
168847432;4
168847433;4
168942556#0;9
168942556#1;15
168942557;8
169030024;1
169098668#0;13
169098668#1;24
169098670;11
169098676#0;10
169098676#1;0
169227574#1;1162
169392954#0;4
169392954#1;9
16943188;427
169443712#1;127
169444767#0;828
16944890;54
169459043#0;694
169459050#0;734
169476858#0;590
169476862#0;245
169476862#4;247
16949027;86
16949038#0;101
16949265#0;0
16949265#1;19
169629655#0;266
169752125;9
169808524;4
169855295;205
169855296;185
169981275;10
170085368;778
170163134#0;868
170163136#0;516
170163137#0;1132
170163138;1386
170163139;64
170163140#0;683
170163141;1452
170260747#0;0
170260747#1;0
170261570;705
170303487;51
170303488#0;102
170303488#1;51
170333762#0;34
170478417;38
170478438;0
170478445;2
170484123#1;115
170484123#2;113
170541730;0
170946276;287
170968199;74
171179323#1;265
171318082#0;213
171367519;1920
171443477#0;9
171443477#1;10
171469186;97
171504230;130
171504233;102
171504298;19
171597813;88
171598189;406
171598190#0;460
171598190#1;513
171598191;461
171598192;83
171598193;41
171683590#0;32
171683590#1;27
171683590#2;25
171683590#3;21
171683591;1
171683592#1;0
171683592#2;30
171683592#3;5
171683592#4;33
171683592#5;35
171683595;71
171766642;1167
171766644#0;312
171932031;1464
171932032;19
172043964#0;1199
172071480#0;406
172071488;14
172071489;14
172071490#0;9
172071490#1;30
172101421;23
172101422#0;6
172101422#1;21
172320607;153
172320608;213
172447301;132
172449261#0;159
172491875;0
172491876;0
172491897;0
172561212;18
172561225#0;732
172640430;2
172659976;174
172659994;913
172805336;25
172805353;30
172805354;35
172805355;37
172805356;42
172886523;1872
172969500;3
173033060#0;203
173033060#1;211
173033062;19
173073771#0;43
173073771#1;29
173073771#2;26
173074005#0;803
173076342;0
173095384#0;11
173095384#1;8
173095384#2;4
173193640;56
173193641#0;104
173193641#1;121
173193642#0;535
173193642#1;492
173193643;115
173195569#0;1190
173195571#0;1280
173195571#1;1280
173195571#2;1284
173195573;1306
173195574;1126
173195575;1341
173195576#0;1569
173195578#0;999
173195581#0;1793
173195582;1067
173195584#0;1658
173195585;999
173195586#0;1109
173195587#0;1788
173195588#0;1337
173195588#4;1314
173195588#5;1297
173195589#0;1658
173195590;1393
173195593#0;2016
173271138;3064
173271139;1287
173314422#0;2
173314422#1;2
173353081#0;1
173353081#1;1
173377887#0;446
173377887#1;466
173378950#0;163
173378950#1;134
173378955#0;102
173378955#1;76
173378955#10;86
173378955#11;83
173378955#12;83
173378955#3;57
173378955#4;46
173378955#5;92
173378955#7;84
173378955#8;76
173378955#9;73
173452139;730
173512051;2200
173514625;340
173522307#0;62
173522307#1;20
173525541;2
173527173;15
173536901#1;51
173536902;7
173611361;5
173678182;576
173792489;39
173838938#0;1077
173901028#0;6
173901028#1;17
173901028#2;18
173901028#3;24
173992084;5
173993154#0;38
173993154#1;22
174381956;280
174389564;1635
174432595;349
174485639;6
174485648#1;6
174485650;3
174532155#0;1492
174537956;3021
174717199#0;30
174717199#1;7
175057297;4
175057298;63
175200723;15
175220641;1429
175220642;2556
175220643;2201
175467566#0;27
175467566#2;975
175467569;847
175537920#0;0
175537920#1;0
175583753;51
175594429;43
175717399;143
175816532#1;3
175816532#2;1
175816532#3;0
175816532#4;1
175941218;1
176068061#0;617
176068062#0;819
176178618#0;443
176178618#3;287
176229361;3781
176319000;78
176319001;0
176427464;244
176427465#0;792
176550993;10
17658587;2
17658604#1;0
176718142;0
176718147#0;654
176718149;0
176764540;686
176775323;4
176781326;3202
176781327;19
177065983;7
177219103;2
177219104#0;1
177219104#1;4
177258800#0;1037
177496897#0;1301
177496899;720
177572292#1;59
177572292#2;49
177572293#1;124
177572293#5;98
177636601;380
177636602;378
177665716#0;219
177665717#0;340
177665718#0;109
177665719#0;199
177665728#0;941
177669213;823
177683543;4
177704680;5
177796035;944
177796146;43
177952987;14
178120709#0;20
178120710;662
178120712;699
178120713;984
178120714;687
178129723;9349
178146063#1;4
178212388#0;19
178212388#1;20
178239808;2
178297151#0;86
178321518;57
17912594;45
17912641;35
179129178;2542
179129288;1171
179155199#0;525
179155203#0;622
179155203#1;989
17915799;1464
17916305;885
179164131;424
179191723#0;1142
179191727;1101
179212761#0;3
179212761#1;4
17925511#0;413
17925511#2;686
17925511#3;704
17927125#0;1697
17927654;1274
17929819#0;1605
179320204;39
179544153#0;26
179544153#1;10
179544154;22
179544155;2
179836671#0;962
179972658#0;883
179973945;1126
180110214;8
180137637;104
180175501#0;6
180175501#1;1
180175501#2;4
180612792;347
180727102;3278
180727103;4282
180727104;1388
180776185#0;143
180780519;1737
180780523#0;867
180780524#0;20
180780524#1;6
180780525#0;1383
180780528;158
180947691;6
180947694;188
180947698;375
180947701#0;421
180947701#1;417
180947704#1;422
180947714;2296
180947715;726
180947726#0;1044
180947728;0
180947743;1996
180947747;121
180947755;117
181012855#0;2
181012855#1;2
181021627#1;117
181021627#2;121
181021627#3;138
181021627#4;3
181021627#5;18
181021627#6;25
181021627#7;30
181067326;1028
181068912;7
181079300;40
181095681#0;231
181095681#1;175
181113478;869
181123432#0;4665
181123451#0;1579
181123451#2;1327
181123477#0;498
181123477#1;324
181123581#0;1294
181123840;710
181124086;1179
181128208;1062
181128211#0;3063
181197011#0;1502
181197012#0;1453
181212749#0;1209
181212749#1;762
181264873#0;568
181264873#2;677
181264873#3;701
181264874#0;587
181264874#1;600
181264896#1;1008
181264896#2;997
181264896#3;977
181264896#4;978
181264903#0;210
181264903#1;203
181264903#2;183
181264903#3;161
181264903#4;173
181301080;17
181301100;1
181327756;176
181362434;6
181550883;88
181550884;24
181715587;2033
181745705;578
181745706;568
181856373;2
182328375;1669
182377086#0;1038
182377092#1;935
182377093#0;929
182377093#1;929
182377094#2;930
182377095#1;506
182377095#2;522
182377095#3;507
182460706;278
182470192#0;993
182470192#1;1372
182582059;24
182582061;38
182651677#0;12
182651677#1;17
182651678;2
182651679;0
182733242#1;307
182764157#0;1669
182764169;2846
182771840;10
183055189;0
18328184#0;110
18328184#1;138
18328221;130
183300866#0;1187
183300866#1;1174
183300866#2;1156
183344021;8
183372945;200
183387754;61
183387755;152
183419947;2
183419948;2
183424487;4
183424488#0;8
183424488#1;4
183429272;0
183541585#1;22
183541586#0;31
183541586#2;53
183541586#3;85
18357077#0;787
183582957#0;308
18358318;1211
183586343;8
18358665#1;1884
18359500;1573
18359510;1570
18359546#0;889
18359823#0;1178
18360111#3;206
18360111#5;190
18360368;471
18360828#0;324
18360885#1;710
18360941;165
18361410#0;689
18361552#0;169
18361742#0;136
18361742#4;132
18362004#0;140
18362004#3;130
18362004#4;139
18362004#6;92
18362004#7;94
18362004#8;105
18362357#0;527
18362467#0;53
18362467#1;41
18362467#2;37
18362467#3;37
18362467#4;23
18362804#0;0
18362804#1;8
18362804#2;8
18362826;3
18363307;45
18365294;37
18365346;20
18365459;69
18365825#0;100
18365825#1;87
18365825#2;85
18365825#3;91
18365825#4;100
18365939;240
18366179#0;1426
18366179#1;1434
183694145;0
183757013#0;4
183757013#1;11
183771963;1700
183772657;7
183772658;4
183772659;32
183772660;31
183772661;8
183772662;12
183973834#1;36
183986927;64
184042961;13
184043125#0;39
184043125#1;32
184043125#2;32
184186080#0;2
184186080#2;6
184335048#0;12
184335048#1;0
184335048#2;0
184347870#0;15
184347870#1;2
184441017;37
184441218#1;68
184441218#3;3
184456414#0;1876
184456415;2030
184456417#0;2030
184456418#0;1753
184456419#1;1875
184456440;1636
184456441#0;427
184456441#1;427
184456441#2;429
184456441#3;418
184456441#4;417
184456444;418
184456451#0;162
184456451#1;115
184456451#2;57
184456451#3;51
184456452#0;565
184456460#0;1254
184495596;16
18485853;54
18504096;16
18504240;11
18504274;6
18505519;15
18505580;5
18505763;7
18506063;343
18506189;133
18506254#1;146
18506823;116
18508608;110
18510963;23
18511851;11
18512049#0;130
18512049#1;112
18512129;41
18512552;136
18512918#0;26
18512918#1;21
18513213;15
18513934;301
18514439;36
18514558;20
18514890;123
18515846;123
18516316;122
18516411;8
18516531;116
18517880;181
18518462;210
18519291;692
18520648;828
18520741;958
18524787;23
18525235;40
18530214;206
185303129;445
18534716#0;578
18534865;115
18535815;235
18535850#0;302
18535850#1;2
18535850#2;342
18535906;111
18535964;3
18535967;4
18535973#1;52
18535977;4
18535979;22
18535981#0;1
18535981#1;0
18535981#2;1
18535982;2
18535985;0
18535986;7
18535988;4
18535996;12
18535998;9
18536010#0;8
18536010#1;13
185378887#0;18
185378887#1;14
18539008;295
18539425;29
18539594#0;13
18539594#1;1
18539594#2;0
18539594#3;0
18539613;8
185493731#0;4782
185493731#1;5119
185493732#0;3726
185493736#0;1155
185494456;92
185769836#0;130
185769836#1;127
185769836#2;124
185769837;182
185866906#1;133
185866906#2;135
185866906#3;135
185866906#4;136
185914721;16
186110162;87
186110163;21
186110164;56
186145150;47
186145165;3
186174708#0;607
186198285#0;87
186198285#1;104
186253257;99
186587073#1;272
18659130;241
186661836;71
186661837;405
186898628#0;8
186898628#1;1
186910163#1;170
186910163#2;126
186910163#3;122
186910163#4;123
186910163#5;122
186910163#6;149
186936853#0;3202
186936855#1;716
186936855#4;840
186936858#0;32
187017700#1;2320
187017700#2;2370
18708266;6052
18710090;246
18710295;584
18726123;3761
18726723;1518
18729075#0;2022
18729075#1;2464
18763458;1825
18763471;1825
187670800;6
187677793#0;20
187677793#1;7
187677795;24
187782062;260
187782065;14
187782069;8
187782070#0;33
187782070#1;18
187782070#2;12
187843441#0;7
187843441#1;7
187843699;0
187843976;4
187912765;1426
187913958;575
187913965;597
187923297;0
187941888;3
188050950#0;24
188189234#0;27
188189234#1;28
188189235#0;21
188189235#1;33
188189235#2;106
188189236#0;47
188189236#1;53
188189237#0;55
188189237#1;52
188189238#0;29
188189238#1;26
188189239;16
188191954;6
188216669;11
188325163#0;692
18833352;5
188335401#2;3733
188335476;0
18833732;0
18833733;10
18834196;3
18834474;0
18835165;64
18836225;6
18836705;13
18836898;2
188412298#0;3
188412298#1;3
18844388;321
188454097;2
188511532;42
188545661;50
188545662;475
188545666;24
188548233;1
188552288;9
188554674#0;140
188554674#2;98
188554674#3;94
188554674#4;89
188554675;132
188605773;285
188620654;4
188702890;276
188702942#0;566
188702942#1;572
188702944#0;233
188702945#0;569
188702948;9
188702949;249
188702952#0;249
188702952#1;266
188702961;307
188702962;307
188702963#0;249
188702963#1;294
188702964;405
188702966#0;133
188702987;13
188703001#0;116
188703001#1;145
188703001#2;145
188703001#4;152
188703001#5;178
188703001#6;182
188703001#7;184
188703002;3
188703003#0;97
188703003#2;227
188703004#0;227
188726364;611
188777471#1;175
188777474;296
188777480;100
188777494#0;79
188777494#1;78
18883361;86
18883482#0;432
18883482#1;404
188838125#0;0
188838125#1;0
188855077;91
188856080;307
188915255#0;1
188915255#1;2
18894405#0;44
18894845;27
18894883;12
18896504;5
189016079;4
189035976;1
189083583;1
189304963#0;9
189304963#1;9
189409020#0;1588
189409020#1;1702
189438703;35
189438704;9
18977052;20
18977054#0;7
18977054#1;8
18977054#3;5
18977055#0;1
18977055#1;1
18977058#0;4
18977058#1;0
18977060#0;4
18977060#1;28
18977060#2;26
18977060#3;6
18977062;0
18977064;39
18977071#0;93
18977071#2;68
18977071#3;72
18977071#4;23
18977071#5;14
18977071#6;10
18977071#7;5
18977074#0;78
18977074#1;40
18977074#2;37
18977074#4;29
18977074#5;10
18977074#6;8
18977074#7;3
18977076#0;29
18977076#1;27
18977076#2;29
18977076#3;11
18977080;9
18977082#0;6
18977082#1;4
18977084;8
18977085;29
18979393;1
18979395;17
18979398;12
18979400;12
18979402;10
18981345#0;14
18981345#1;10
18981347;2
18981352#0;2
18981352#1;10
18981353#0;16
18981353#1;5
189988231#0;0
189988231#1;0
190217521#0;229
190217521#1;218
190217524;242
190217528;0
190311234#0;11
190311234#1;0
190345449;3
190505892#1;475
190505892#2;73
190505892#3;475
190651186;783
190651187;444
190651187#0;593
190651187#1;206
190659083#0;1402
190670764;21
190950570#1;29
190950570#2;58
190950570#3;47
191028691;934
191037694#0;1
191037694#1;2
191060766;12
191085702;1520
191103035;58
191106474;223
191110961#0;20
191110961#1;11
191110962#0;2033
191110963#0;7
191110963#1;154
191110964;72
191135800#0;1579
191135800#1;1573
191135801;1498
191135802;1562
191135803#0;726
191135803#1;737
191135804;1130
191135805#0;1130
191135805#1;1129
191137337#0;1532
191137337#1;1528
191137338#0;1529
191137338#2;1513
191137339;1509
191137340;1508
191137341;845
191137342;829
191264287#0;5150
19129689;13
191401165;16
191519077;0
191667356#0;12
191667356#1;0
191803989;328
191807501;765
191807502;1695
191823918#0;109
191911428#0;14
191990440;964
192001370#0;40
192001370#1;17
192001785;33
192005122;43
192242894;1
192427511;2183
192427512#0;1447
192427513;6482
193643013;667
193839001#1;8
19423627#0;1
19423627#1;2
19423634;182
19423635;761
19423637#0;924
19423637#1;96
19423637#2;187
19423637#3;38
19423637#4;149
19423645;853
19423646;853
19423651#0;828
19425863;69
19425866#0;68
19425869;67
19425872;66
19425875;70
19425878;186
194565075;1
194604630;22
194619709#0;125
194619709#1;122
194619709#2;100
194619709#3;100
194619709#4;94
194700390#0;39
194700390#1;24
194700390#2;32
194700390#3;41
194700390#4;68
194702521;12
195121005;1070
195128620#0;2734
195128621#0;1552
195128624#1;1509
195128624#3;1463
195408797#0;102
195447706#0;717
195447706#1;697
195447711#1;873
195447714#1;960
195557042;5233
195608395;279
195608396#0;237
195608397;99
195608400;215
195608402#0;100
195608402#2;112
195608403#0;43
195608404#0;20
195608404#3;18
195608405;43
196252134;60
19631398#0;125
19631398#1;88
19631398#2;90
19631480;17
19631743;37
19631763;41
19631883#0;96
19631883#1;99
19632201#0;11
19632201#1;68
19632514;3
19632866;0
19632883;46
19633583;1938
19634084;2046
19635647;20
196365574#1;1289
196365575;1608
19644512;149
19650107;91
19651086;91
19651419#0;64
19651419#1;25
19656815;44
19656826#0;1
19656826#1;0
19658495;2804
19658639#0;3993
19660169#2;521
19661709;1440
19662150;1630
19662312#0;804
19662911;1150
196660980;4871
19675125;945
19675441;365
19676603;7034
196980576;130
19714397#0;194
19714397#1;49
19714400;2
197232184;105
197235919;1820
197252325;1
197252329#0;1
197252329#1;0
197285796;6
19730270;113
19730271;118
19730272;56
19730273;7
19730274#0;114
19730274#1;28
19730274#2;32
19734682;56
19737692#0;695
19737692#2;691
19737713#0;45
19737713#2;77
19737717#0;201
19737717#2;167
19737717#3;140
197394521;1404
197400262;35
197403679#0;1645
197403680;1437
197403682;1447
197403685;1491
197403687;1270
197403688;1550
197403777;2
197403779;1795
197403782#0;2075
197403784#0;728
197403789#0;1855
197403791;1855
197417501;5
197417504;213
197417505;14
197417506#0;654
197424940;527
197424942;319
197424943#0;688
197424945;668
197441767#0;529
19745002#0;37
19745002#1;29
19745002#2;37
19745002#4;92
19745005#0;57
19745005#1;14
19745005#2;0
19745005#3;0
19745105;6
19745106;50
19745107;0
19745213;1155
19745266#0;144
19745266#1;125
19745268;17
197456897#0;1938
197456897#1;1329
197456898#0;1328
197456899;1330
197456900#0;1330
197456901;1329
197456902#0;1610
197457047#1;1434
197459829;1928
197459830#1;1144
197459831#0;1439
197459832#2;1371
197461114#0;47
197461114#1;24
197461115;59
197461116;83
197462176;26
19752783#0;58
19752783#1;59
19752783#2;64
197540232#0;6
197540232#1;15
197595607#0;1212
197595608#0;650
197614304;2255
197614415;59
197614416;72
197614417;46
197641892;412
197641893;1726
197641897;239
197641898;53
197641899;1290
197641900#1;1755
197641901#0;1153
197641901#1;1049
197641901#2;1136
19768003#0;146
19768003#1;131
19768005#0;950
197749652#1;20
197802976;3
19781168;8
19781169;41
197816305;1994
197824707#1;328
197824710;2
197824713#0;394
197824713#1;393
197824713#2;394
197824714#0;0
197824714#1;0
197824714#2;19
197824714#3;78
197824714#4;76
197824714#6;66
197824714#7;17
197824714#8;28
197824714#9;28
197828964;1
197832938;234
197834409;56
197834412;54
197834413;54
197834414;91
197835634;924
197835635;5168
197836486;923
197836487#0;812
197836488;5345
197836489;4663
19784465;58
19784470;23
19784472#0;32
19784472#1;24
19784472#2;5
19784474#0;35
19784474#1;23
19784475#0;14
19784475#1;13
19784476;0
19784477;12
197844960#0;34
197844960#1;0
197853296;854
197882549#0;16
197882549#1;26
197882549#2;34
19797874#0;56
19797874#1;20
19797874#2;1
19797876;13
19797877;27
19797879;24
19797881#0;116
19797881#1;96
19797881#2;24
19797883#0;53
19797883#1;66
19797883#2;99
19797884;22
19797886;29
19797887;79
19797961;12
197979681;11
19798496;53
198082258#0;23
198082258#1;9
198082852#0;56
198082852#1;54
198082852#2;3
198120491;791
198204403;964
198239898;2846
198239904;4674
19830763;81
19830771#0;13
19830771#1;2
19830772;6
19830775;17
19830778;43
19830780;11
19830790;281
19830792;211
19832778;69
19832782#0;227
19832782#1;226
19832785#0;957
19832785#2;881
19832785#3;952
19832785#4;1013
19832785#6;996
19832786;1494
19832789;209
19832790;144
19832791;14
19834240;83
19834241;15
19834242#0;91
19834242#2;74
19834242#3;100
19834243#0;11
19834245#0;600
19834245#1;634
19834246;318
19834247;282
19834249#0;110
19834250;26
198703044;31
198775128;2
198852648;57
19889946;41
19889948;5
19890332;19
19890334;8
19893963;677
198957764;1618
19902566#0;60
19902566#1;22
19902566#3;29
19903895;13
19903897;8
19906463;571
19908281#0;504
19908281#1;504
19908281#2;513
19908281#3;514
19908574;28
19908837;9
19908838#0;1
19908838#1;0
19909343;99
199266813;425
199266825#0;595
199654846#0;457
199654846#1;455
199654846#2;455
199654848;458
199654849#0;457
199654849#1;514
199766693#0;1645
199797838;41
199990066;20
199990067;93
200026128;1432
200026129;729
200026130;1802
200053171#1;50
200350494;1450
200350495;1450
20035111;7
20035113#0;15
20035113#1;20
20035113#2;50
20035113#3;48
200715425;4
200715427;1
200715431;5
200946319#1;692
200946319#2;848
201199919;0
201737937;2
20174647;290
201752789;1
20176081#0;792
20176203;866
20176929;479
20178301;4818
20178850;286
20179700#0;1630
20179771;1706
20181819#0;191
20181932;76
20182298;26
20183214;133
20183514;0
20183805#2;93
20183805#3;64
20183805#4;63
20183805#5;55
20183805#6;34
20183805#7;18
20184051#0;82
20184277;15
20184834#0;68
20184834#1;52
20184834#2;41
20184834#3;45
20184834#4;57
20184834#5;40
20185028#0;80
20185028#1;38
20185028#2;39
20185028#3;46
20185028#4;45
20185028#5;43
20185581;8
20186016;90
20186208#0;1241
20186208#1;1288
20186338#0;183
20186338#1;171
20186338#2;173
20186667#0;405
20186667#2;476
20187260#0;483
20187260#2;1264
201973506#0;2581
202087352;32
20228220#0;148
20228220#1;87
20228222#0;54
20228222#1;0
20228224#0;30
20228224#1;29
20228225#0;27
20228225#1;0
20228225#2;0
20228866#2;815
202289186;0
20229221#0;142
20229221#1;55
20229221#3;18
20229226#0;47
20229226#1;10
20229226#2;1
20229666#0;54
20229666#1;56
20229666#2;56
20231097#0;8
20231097#1;9
20231097#2;10
20231097#3;11
20231099;0
20231992;0
20231994#0;38
20231994#1;45
20231994#2;61
20231995#0;151
20231995#1;180
20231995#2;263
20231998;60
20232000#0;46
20232000#1;50
20232001;47
20232004;89
20232005;19
20232006;10
20232008#0;86
20232008#1;88
20232008#2;34
20232008#3;41
20232009#0;106
20232009#1;106
20232013#0;82
20232013#1;28
20232016;1
20232017;1
20232020;10
20232021;15
20232023;40
20232024#0;14
20232024#1;34
20232024#2;7
20232024#3;35
20232025;19
20232028#0;24
20232028#1;6
20232028#2;4
20232029;6
202403445;0
202439690;3528
202439698;3857
202618790#0;65
202618790#1;80
202618790#2;98
20271082;731
202779532;0
202787425;0
202794079;3
20282098#0;91
20282098#1;57
20282098#2;3
202830464;1025
202831323;1529
202882070#2;660
203062658#0;77
203062658#1;215
20307906#0;47
20307906#1;29
20307906#2;32
203158617#0;2184
203158619#0;175
203158619#2;290
203158619#3;165
203162262;854
203162263;367
203282029;2
20342110;45
203427281#0;678
203427282#0;142
203427282#1;51
203533356#2;1536
203533357#0;291
203533357#1;278
203534827;294
203535120#0;2408
203535120#1;2455
203535120#2;2150
203535120#4;2282
203538913;338
203539164;3940
203540442#0;1383
203540442#3;1083
203540442#4;1027
203540442#5;982
203540442#6;950
203540442#7;956
203540442#8;961
203540444#0;201
203540444#1;233
203540444#3;348
203540964;215
203540965#0;483
203540968;4846
203787745;3026
203794371#0;1356
203927412#0;744
203927835;474
203930378#1;1983
203930934#1;3971
203931626;4559
203931629#1;4265
204004679#0;593
204004679#1;377
204004679#2;378
204004679#3;386
204355598#0;71
204355598#1;44
204355598#2;71
204365250;0
204507085;24
204714857;192
204714858;239
204714859#0;196
204714859#2;412
204714860;465
204814974;3
204889143#0;2
204889143#1;0
204895527;0
205043997;4
205092657#0;5
205092657#1;0
205092657#2;6
205131430;2
205496908#0;968
205496909#0;1098
205607291;172
205650903;29
205650904#0;19
205650904#1;22
205650904#2;26
205786637;63
205952621;17
20618555;21
20618557;12
20618558;57
20618562;2
20618565;4
20623606;55
20623616;7
206294052;266
206322930#0;219
