ITERATION	avg. Average Leg distance	avg. Average Trip distance
295	3909.583495660337	9526.763454708691	
296	3908.3169956487764	9527.081583608566	
297	3908.71530086966	9527.578450373225	
298	3909.8241649544034	9527.024539982469	
299	3908.2779564121724	9525.297696682816	
300	3908.8724906619636	9525.250127478252	
301	3908.6487883018253	9525.538213661452	
302	3909.1281878833206	9525.082944411623	
303	3907.3286258892354	9522.921696717567	
304	3907.2917473467705	9524.718393288607	
305	3908.07598328437	9525.205021536789	
306	3908.6437950471554	9525.567275649475	
307	3907.3554604675496	9524.617146423449	
308	3906.6814835915447	9522.517678702847	
309	3907.063101770598	9524.93171924361	
310	3908.257893017776	9524.778213548301	
311	3907.5165511409473	9523.499219883783	
312	3907.354242780514	9523.449441892584	
313	3906.1613790524416	9522.665858947967	
314	3906.822187150762	9522.10124867582	
315	3907.0966683866277	9522.6924949992	
316	3905.857586664935	9522.83801838725	
317	3907.953291350463	9524.344383125486	
318	3906.306252900049	9521.85977872903	
319	3906.892738288267	9523.982739028083	
320	3907.2504665158517	9522.280933351942	
321	3906.369879173345	9523.066084346628	
322	3905.8611633597943	9522.252099240774	
323	3905.534804798906	9521.155149760856	
324	3906.83745653199	9523.593877214607	
325	3905.9813616611477	9522.527036133246	
326	3905.1459230876576	9522.191190481639	
327	3905.0650310328024	9520.290236670162	
328	3906.4392072169508	9521.734063731888	
329	3907.0238145445096	9522.743540116137	
330	3906.304981116382	9521.457705585426	
331	3904.7883572720975	9522.112441421725	
332	3904.904894459327	9516.86921819381	
333	3905.8266966946153	9519.924591836048	
334	3904.846643849596	9521.412626753714	
335	3904.3924998734565	9520.313219449663	
336	3905.0392476041843	9520.595658520291	
337	3905.5960300402307	9521.227274676967	
338	3904.792477526881	9518.478750620938	
339	3904.1172761080475	9518.59948018656	
340	3904.2749844037635	9520.178270066388	
341	3903.790313668542	9518.710257007016	
342	3903.525417771111	9518.083162119496	
343	3905.1792662401385	9518.962461415234	
344	3903.3875898414226	9516.239495852336	
345	3903.4519074347922	9517.268045416416	
346	3903.8582395722447	9516.6842874771	
347	3904.0365248405296	9517.412361414008	
348	3904.0914235632567	9519.794837632286	
349	3903.7983091243555	9518.404162941275	
350	3904.0431522742792	9517.833063986358	
351	3903.222383198225	9517.824709007768	
352	3904.2714496421254	9516.417491459104	
353	3904.0037328541434	9514.890601286439	
354	3903.1403405423603	9514.961238381571	
355	3903.8989857351203	9518.00676387822	
356	3903.464730164155	9517.511280453115	
357	3903.0082629948743	9516.655052439775	
358	3904.10722409924	9517.762979605479	
359	3903.640174738163	9514.540828903511	
360	3902.1528734939957	9515.917527147738	
361	3903.4921635452524	9517.75832715336	
362	3902.606144653862	9515.602957351131	
363	3904.4095954133004	9516.609900194857	
364	3902.35054871522	9515.560408376989	
365	3902.821461811411	9516.174224766644	
366	3902.534327973083	9515.739732487464	
367	3902.360746345391	9516.176078557954	
368	3903.192328268199	9516.31504218082	
369	3902.837257295479	9516.086858201374	
370	3901.100004888232	9513.877940197965	
371	3902.3047869294087	9513.29226443619	
372	3902.2601742386782	9512.481855983617	
373	3902.7694678483062	9515.971581417736	
374	3902.023575517443	9515.21809418957	
375	3902.6334828527038	9512.837700152819	
376	3901.7384250231753	9512.438818329349	
377	3902.2751567898804	9512.937199863229	
378	3901.4494901466637	9513.129107895671	
379	3901.766559706321	9511.847828473296	
380	3902.4029094249295	9513.750516332791	
381	3901.7546275498635	9513.195208432342	
382	3901.760190735132	9512.490619303855	
383	3901.459487813286	9511.016728741051	
384	3901.518081457759	9512.2690231344	
385	3901.341533585209	9512.02251520879	
386	3903.2012761974206	9512.817228427537	
387	3901.3842859109905	9512.87221871424	
388	3902.041752224792	9512.027821959105	
389	3901.3212160387297	9512.27975913063	
390	3900.224822953864	9511.98572184123	
391	3900.9273613060436	9511.252712061465	
392	3900.8331000745443	9511.967315242233	
393	3899.959650498422	9510.963024915192	
394	3901.0418848462214	9512.12478100614	
395	3900.5733141632086	9512.198117999616	
396	3900.839308368522	9512.41339122515	
397	3902.183380850782	9513.231007203509	
398	3901.512325805368	9511.875233146286	
