Iteration	bicycle_travel	bicycle_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
142	147517	0	218060	0	2410	0	107310	32153	73768	0	0	0	291180	0
143	147151	0	217661	0	2412	0	107319	32163	73759	0	0	0	292680	0
144	147456	0	217975	0	2424	0	107345	32451	73724	0	0	0	291334	0
145	147257	0	217911	0	2413	0	107333	32487	73743	0	0	0	291809	0
146	146816	0	217982	0	2419	0	107575	32080	73728	0	0	0	291032	0
147	147740	0	217756	0	2419	0	107298	32636	73729	0	0	0	291601	0
148	147111	0	217975	0	2415	0	107536	31953	73733	0	0	0	290854	0
149	147289	0	217841	0	2427	0	107457	32026	73713	0	0	0	291559	0
150	147440	0	217738	0	2415	0	107387	32273	73699	0	0	0	291277	0
151	147090	0	217768	0	2420	0	107698	32277	73703	0	0	0	290924	0
152	147331	0	217716	0	2423	0	107745	32404	73708	0	0	0	290485	0
153	146941	0	217917	0	2410	0	107571	32005	73669	0	0	0	290549	0
154	146751	0	217929	0	2421	0	107605	32271	73669	0	0	0	291242	0
155	146628	0	217715	0	2420	0	107575	32254	73640	0	0	0	292737	0
156	146783	0	218039	0	2424	0	107574	32275	73654	0	0	0	290938	0
157	146781	0	217621	0	2407	0	107755	31951	73630	0	0	0	290706	0
158	146688	0	217990	0	2417	0	107584	31780	73610	0	0	0	291220	0
159	146373	0	217377	0	2399	0	107721	31777	73623	0	0	0	291742	0
160	146503	0	217536	0	2407	0	107744	32121	73601	0	0	0	292020	0
161	146410	0	217538	0	2397	0	107699	32144	73611	0	0	0	291713	0
162	146644	0	217491	0	2399	0	107850	32225	73623	0	0	0	290933	0
163	146597	0	217670	0	2409	0	107717	32295	73609	0	0	0	291280	0
164	146300	0	217475	0	2408	0	107905	31917	73613	0	0	0	291444	0
165	146567	0	217604	0	2398	0	107700	31952	73601	0	0	0	290472	0
166	146286	0	217748	0	2403	0	107744	31944	73572	0	0	0	290929	0
167	146211	0	217511	0	2396	0	107774	32028	73583	0	0	0	292046	0
168	146023	0	216997	0	2391	0	108149	31925	73565	0	0	0	291519	0
169	146019	0	217168	0	2397	0	107966	31982	73557	0	0	0	292161	0
170	146093	0	217221	0	2393	0	108012	31845	73524	0	0	0	291337	0
171	145892	0	218079	0	2417	0	107873	31983	73567	0	0	0	290906	0
172	145772	0	217376	0	2409	0	108228	32053	73564	0	0	0	290995	0
173	146143	0	217189	0	2397	0	108050	31549	73515	0	0	0	291494	0
174	145667	0	217641	0	2410	0	107932	31921	73498	0	0	0	290882	0
175	145531	0	217249	0	2390	0	108030	31655	73485	0	0	0	291132	0
176	145762	0	217127	0	2384	0	107956	32042	73481	0	0	0	290283	0
177	145468	0	217428	0	2395	0	108101	32070	73471	0	0	0	290938	0
178	145916	0	216918	0	2395	0	107968	32420	73495	0	0	0	292381	0
179	145558	0	216975	0	2390	0	108203	31862	73465	0	0	0	291688	0
180	145642	0	217277	0	2391	0	108198	32157	73447	0	0	0	290715	0
181	145572	0	217107	0	2387	0	108149	31916	73468	0	0	0	291568	0
182	145687	0	217195	0	2388	0	108139	32262	73424	0	0	0	290791	0
183	145515	0	217425	0	2392	0	108043	32056	73421	0	0	0	291246	0
184	145435	0	217283	0	2387	0	108109	32381	73443	0	0	0	291009	0
185	144901	0	217080	0	2384	0	108288	32084	73444	0	0	0	292057	0
186	145901	0	217190	0	2389	0	108174	32035	73410	0	0	0	291349	0
187	145175	0	217259	0	2392	0	108255	31952	73423	0	0	0	291137	0
188	145477	0	217188	0	2390	0	108207	31859	73415	0	0	0	291295	0
189	145515	0	217272	0	2388	0	108111	31942	73425	0	0	0	290744	0
190	145046	0	217013	0	2382	0	108268	31747	73408	0	0	0	291772	0
191	145765	0	216777	0	2378	0	108294	31633	73405	0	0	0	290822	0
192	145063	0	217404	0	2383	0	108295	32457	73396	0	0	0	290718	0
193	145259	0	216957	0	2375	0	108263	31940	73440	0	0	0	291028	0
194	145180	0	216705	0	2376	0	108355	32082	73404	0	0	0	292016	0
195	144992	0	217011	0	2380	0	108338	32234	73397	0	0	0	291756	0
196	144738	0	216955	0	2370	0	108338	32078	73385	0	0	0	291882	0
197	144832	0	216992	0	2377	0	108481	32443	73356	0	0	0	290578	0
198	144733	0	216712	0	2383	0	108432	32069	73370	0	0	0	292301	0
199	145044	0	216697	0	2385	0	108308	31978	73363	0	0	0	292804	0
200	145174	0	216947	0	2380	0	108397	31681	73367	0	0	0	291512	0
201	144520	0	216957	0	2384	0	108341	31860	73361	0	0	0	292042	0
202	144694	0	216765	0	2378	0	108583	32075	73348	0	0	0	291306	0
203	144634	0	216918	0	2378	0	108424	31924	73323	0	0	0	291154	0
204	145147	0	216343	0	2378	0	108639	31964	73310	0	0	0	291447	0
205	144663	0	217286	0	2392	0	108441	32289	73285	0	0	0	291655	0
206	144565	0	216789	0	2379	0	108561	32016	73314	0	0	0	291758	0
207	144486	0	216892	0	2382	0	108598	31831	73282	0	0	0	290978	0
208	144433	0	216962	0	2380	0	108692	32222	73312	0	0	0	291186	0
209	144532	0	216350	0	2373	0	108646	32594	73305	0	0	0	292317	0
210	144353	0	217251	0	2381	0	108580	32205	73279	0	0	0	290670	0
211	144531	0	216696	0	2370	0	108614	31650	73318	0	0	0	291537	0
212	144383	0	216869	0	2377	0	108600	31773	73267	0	0	0	291360	0
213	144456	0	216711	0	2369	0	108596	31886	73285	0	0	0	290468	0
214	144711	0	216579	0	2380	0	108628	32044	73257	0	0	0	292637	0
215	144203	0	216557	0	2363	0	108807	32276	73276	0	0	0	292401	0
216	144329	0	216457	0	2368	0	108792	31966	73284	0	0	0	291494	0
217	144412	0	216296	0	2372	0	108704	31796	73271	0	0	0	292243	0
218	143997	0	216827	0	2379	0	108679	31976	73255	0	0	0	291529	0
219	144061	0	216386	0	2375	0	108827	31986	73232	0	0	0	292782	0
220	144148	0	216739	0	2378	0	108749	31863	73211	0	0	0	291365	0
221	144228	0	216304	0	2373	0	108890	32068	73246	0	0	0	292843	0
