Iteration	bicycle	car	freight	pt	ride	walk
174	1646545	8404926	70928	3338653	2852671	1106181
175	1645007	8403386	70887	3344412	2852857	1107138
176	1647612	8407220	70940	3340206	2852726	1103911
177	1644290	8403514	70943	3346920	2852534	1106398
178	1649358	8394306	70922	3342349	2852459	1111882
179	1645310	8392176	70855	3349980	2852184	1109247
180	1646257	8395383	70788	3349980	2852210	1105548
181	1645468	8394251	70789	3348986	2851857	1108791
182	1646768	8397565	70667	3347753	2852232	1105840
183	1644823	8399981	70677	3345131	2851522	1107565
184	1643914	8394311	70604	3346858	2852332	1106666
185	1637884	8394286	70608	3352529	2851994	1110647
186	1649187	8387497	70597	3350215	2850674	1107954
187	1640977	8394507	70555	3352141	2851817	1107152
188	1644396	8385955	70599	3349967	2851052	1107755
189	1644823	8395391	70627	3346369	2851337	1105658
190	1639517	8390756	70638	3349830	2850874	1109565
191	1647641	8386975	70730	3352144	2852080	1105952
192	1639718	8391949	70771	3352293	2850303	1105561
193	1641932	8392353	70684	3350389	2850542	1106738
194	1641031	8381790	70756	3355744	2849201	1110492
195	1638912	8387307	70788	3355680	2850222	1109506
196	1636041	8391222	70713	3355211	2849815	1109983
197	1637106	8390604	70699	3361014	2849035	1105031
198	1635978	8381592	70732	3358817	2849626	1111576
199	1639503	8379389	70691	3353497	2848480	1113486
200	1640965	8380113	70694	3354892	2849071	1108580
201	1633577	8388409	70698	3354166	2848658	1110590
202	1635546	8383104	70662	3362140	2848318	1107794
203	1634861	8386179	70730	3356564	2848056	1107218
204	1640662	8371460	70646	3365141	2847588	1108333
205	1635187	8386389	70662	3356527	2847766	1109122
206	1634089	8381828	70686	3362909	2848308	1109513
207	1633190	8384140	70683	3362735	2847154	1106546
208	1632597	8380751	70622	3365778	2848625	1107338
209	1633711	8371844	70686	3365273	2847398	1111634
210	1631688	8383129	70676	3362758	2846947	1105376
211	1633703	8379150	70597	3364440	2847572	1108674
212	1632024	8380867	70527	3361582	2847419	1107999
213	1632853	8382717	70455	3362380	2847023	1104613
214	1635738	8369991	70412	3362511	2846498	1112851
215	1629988	8370068	70448	3370067	2846493	1111953
216	1631415	8372338	70484	3369821	2846338	1108507
217	1632359	8371087	70493	3367221	2845385	1111355
218	1627669	8381353	70514	3365456	2847039	1108645
219	1628383	8370333	70472	3367647	2847131	1113407
220	1629367	8373606	70452	3367793	2846465	1108018
221	1630281	8363403	70397	3369812	2846840	1113633
222	1629235	8381207	70406	3365471	2846721	1106047
223	1630941	8376001	70352	3367806	2845972	1107240
224	1623909	8377115	70342	3369629	2846782	1108661
225	1630417	8372176	70448	3368720	2845662	1107778
226	1622631	8381952	70465	3368757	2846283	1105608
227	1631047	8372105	70408	3362533	2846586	1111701
228	1628629	8369642	70418	3361809	2846123	1112893
229	1627393	8370008	70473	3372131	2844965	1109576
230	1626947	8374126	70412	3370595	2844702	1105442
231	1629286	8365772	70397	3369715	2845058	1108902
232	1629137	8365236	70458	3368272	2844603	1108637
233	1624801	8369816	70487	3368945	2845434	1112176
234	1625969	8367055	70470	3373643	2844222	1107161
235	1624701	8364619	70421	3375216	2844258	1110064
236	1626084	8366166	70401	3372183	2843806	1110508
237	1624794	8365267	70382	3373858	2844502	1109693
238	1624987	8365844	70321	3371036	2844259	1111078
239	1624691	8368425	70223	3370358	2843305	1108716
240	1620867	8363333	70127	3373417	2844055	1113644
241	1618973	8369603	70196	3374501	2844635	1107085
242	1622914	8365727	70275	3374483	2844877	1110030
243	1624182	8365370	70269	3373595	2844496	1107960
244	1626592	8363735	70310	3370100	2844635	1111133
245	1623791	8364616	70306	3369711	2844234	1109687
246	1627654	8360511	70228	3370585	2843417	1110560
247	1621612	8364875	70234	3374603	2844398	1109028
248	1621447	8361040	70270	3374533	2843370	1110776
249	1623684	8363851	70315	3373560	2843130	1110181
250	1622472	8364996	70227	3376262	2843253	1104786
251	1619033	8366338	70228	3376456	2843598	1108500
252	1620409	8363940	70233	3380434	2843827	1109085
253	1616399	8365435	70293	3374571	2843187	1111681
254	1614540	8368986	70206	3376256	2843289	1108729
255	1618552	8360559	70180	3376956	2843679	1110783
256	1617417	8355472	70144	3386293	2843150	1109108
257	1617094	8358785	70063	3380661	2842568	1110054
258	1619131	8351601	70080	3381965	2843481	1112279
259	1615374	8355252	70079	3385448	2843761	1111005
260	1620521	8356561	70078	3374504	2842391	1112296
261	1618156	8351472	70097	3384771	2842474	1108757
262	1615877	8349805	70077	3383907	2841923	1114729
263	1618205	8345002	70077	3385457	2842823	1114310
264	1618930	8355309	70085	3381467	2842167	1109038
265	1622334	8344343	70093	3385064	2842239	1111642
266	1620308	8353259	70102	3381349	2842519	1108005
267	1618249	8351190	70035	3385127	2840907	1109549
268	1616883	8341549	69963	3385107	2842796	1115008
269	1617110	8353496	69907	3376880	2841199	1113154
270	1618157	8357477	69846	3378324	2841329	1110785
271	1618417	8351219	69870	3382848	2841873	1110564
272	1619212	8352447	69863	3381613	2841088	1107119
273	1616168	8353755	69818	3383169	2841280	1111421
274	1620037	8348590	69900	3376684	2841182	1113678
275	1619348	8358006	69835	3378774	2841384	1106034
276	1618789	8355322	69777	3381167	2840742	1105311
277	1624663	8347905	69768	3375093	2841119	1110629
278	1619740	8351156	69780	3379733	2840828	1109595
279	1615422	8356460	69834	3380734	2840837	1107124
280	1623833	8344544	69800	3383150	2842032	1109080
281	1618073	8338787	69776	3389661	2841118	1109718
282	1618915	8341360	69828	3381273	2841644	1113970
283	1617526	8340595	69761	3387688	2841335	1110222
284	1619259	8341574	69754	3382273	2841751	1111535
285	1616634	8343748	69784	3386504	2839614	1112553
286	1618980	8351382	69690	3370279	2840241	1112279
287	1614598	8344123	69764	3387099	2840030	1109086
288	1618711	8344110	69797	3380523	2840351	1113093
289	1613537	8341913	69728	3385976	2840661	1111142
290	1614379	8343840	69727	3387104	2840975	1111530
291	1613278	8347506	69716	3385639	2840104	1110997
292	1617369	8346311	69581	3378712	2840262	1109158
293	1615316	8345840	69655	3386016	2839970	1110994
294	1616868	8340332	69655	3386482	2840631	1112137
295	1617664	8339826	69650	3384696	2840425	1111400
296	1613894	8340676	69616	3390870	2839961	1110933
297	1609539	8340782	69609	3392390	2841286	1112558
298	1618919	8341648	69673	3386561	2840479	1107632
299	1613267	8340729	69681	3388239	2839325	1110005
300	1615093	8345491	69521	3381363	2839085	1110930
301	1617232	8347037	69556	3381831	2839510	1108373
302	1615166	8337907	69527	3388408	2839585	1111441
303	1612438	8334908	69523	3390577	2838660	1110614
304	1616286	8333054	69577	3393261	2838997	1108524
305	1612238	8338421	69536	3393269	2839738	1109579
306	1613221	8343807	69570	3385855	2839443	1110698
307	1607420	8346700	69515	3386979	2839126	1111215
308	1613570	8335327	69605	3391110	2838827	1108285
309	1609393	8336702	69674	3394844	2839585	1110487
310	1610703	8344554	69601	3383679	2840161	1111674
311	1610948	8339412	69599	3385092	2840276	1112568
312	1612828	8332657	69674	3392511	2839443	1110439
313	1612155	8333183	69602	3391961	2839679	1110104
314	1608311	8339201	69584	3389401	2839393	1109651
315	1614635	8339568	69600	3385852	2838862	1108676
316	1608396	8339818	69580	3389416	2839360	1110581
317	1611322	8337596	69607	3388607	2839518	1113228
318	1611366	8335688	69654	3387500	2838553	1111267
319	1614205	8336651	69661	3390310	2839124	1109776
320	1615123	8330285	69676	3390857	2838963	1111501
321	1612192	8337559	69696	3390226	2839421	1109169
322	1609381	8344108	69655	3385505	2839422	1109058
323	1608100	8342714	69611	3384787	2838562	1110130
324	1610020	8333247	69683	3395774	2839476	1110332
325	1611582	8330325	69679	3396894	2839036	1109371
326	1609206	8333359	69678	3395833	2838520	1109767
327	1609842	8337981	69663	3387125	2838014	1109563
328	1608995	8337095	69603	3391728	2838774	1109431
329	1611146	8344221	69624	3385361	2837679	1109266
330	1611562	8340967	69612	3386236	2837954	1108019
331	1606471	8337640	69628	3395131	2838299	1109291
332	1613836	8325594	69612	3386484	2836834	1113068
333	1610405	8333253	69636	3391650	2837396	1110236
334	1610317	8336774	69643	3390333	2837983	1109170
335	1608238	8332784	69614	3394217	2837717	1110283
336	1610159	8338342	69642	3389569	2838125	1108014
337	1605785	8340592	69518	3388377	2837451	1112937
338	1608870	8333582	69488	3387418	2837828	1112552
339	1610908	8325783	69460	3395149	2838234	1109969
340	1608586	8326568	69500	3398852	2837679	1111272
341	1604119	8340384	69524	3389935	2837070	1109118
342	1607164	8333492	69505	3389038	2837565	1111120
343	1611094	8331194	69521	3387725	2838128	1112182
344	1610463	8328742	69378	3390720	2836639	1109904
345	1605951	8338267	69364	3387487	2836592	1109392
346	1612357	8332775	69415	3384944	2838143	1108950
347	1607267	8337416	69518	3387109	2837576	1108040
348	1606476	8338823	69448	3392153	2837515	1106893
349	1609937	8332882	69526	3394429	2836682	1106160
350	1607724	8340287	69444	3387875	2836985	1106328
351	1609498	8331132	69416	3390643	2837313	1109998
352	1610132	8335328	69362	3381109	2837349	1112016
353	1608651	8329901	69337	3385496	2837460	1111918
354	1609505	8330622	69356	3389675	2837288	1106615
355	1601760	8337622	69313	3389483	2837045	1113121
356	1605349	8334022	69311	3392161	2837540	1109508
357	1604147	8332714	69367	3391013	2837242	1110528
358	1604648	8338299	69285	3387872	2837661	1110599
359	1606050	8331764	69339	3384065	2836928	1113776
