Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
157	19:23:50	19:23:50	19:23:51	19:23:51	19:25:27	19:25:27			19:25:29	19:25:29	19:25:39	19:25:39	19:34:13	19:34:13	19:34:16	19:34:16	19:34:16	19:34:16			19:34:26	19:34:26		00:00:01	00:01:35		00:00:02	00:00:10	00:08:34	00:00:02	00:00:00		00:00:09	00:10:36
158	19:34:27	19:34:27	19:34:28	19:34:28	19:36:03	19:36:03			19:36:06	19:36:06	19:36:16	19:36:16	19:44:49	19:44:49	19:44:51	19:44:51	19:44:52	19:44:52			19:45:01	19:45:01		00:00:01	00:01:35		00:00:02	00:00:10	00:08:32	00:00:02	00:00:00		00:00:09	00:10:34
159	19:45:01	19:45:01	19:45:04	19:45:04	19:46:41	19:46:41			19:46:44	19:46:44	19:46:55	19:46:55	19:55:30	19:55:30	19:55:33	19:55:33	19:55:34	19:55:34			19:55:43	19:55:43		00:00:02	00:01:37		00:00:02	00:00:11	00:08:35	00:00:02	00:00:00		00:00:09	00:10:41
160	19:55:43	19:55:43	19:55:44	19:55:44	19:57:21	19:57:21			19:57:23	19:57:23	19:57:33	19:57:33	20:06:04	20:06:04	20:06:06	20:06:06	20:06:07	20:06:07	20:06:07	20:06:07	20:07:51	20:07:51		00:00:01	00:01:37		00:00:02	00:00:09	00:08:31	00:00:02	00:00:00	00:00:00	00:01:43	00:12:07
161	20:07:51	20:07:51	20:07:52	20:07:52	20:09:26	20:09:26			20:09:28	20:09:28	20:09:38	20:09:38	20:18:04	20:18:04	20:18:06	20:18:06	20:18:07	20:18:07			20:18:16	20:18:16		00:00:01	00:01:34		00:00:02	00:00:09	00:08:25	00:00:02	00:00:00		00:00:08	00:10:24
162	20:18:16	20:18:16	20:18:17	20:18:17	20:19:51	20:19:51			20:19:54	20:19:54	20:20:04	20:20:04	20:28:31	20:28:31	20:28:33	20:28:33	20:28:34	20:28:34			20:28:42	20:28:42		00:00:00	00:01:34		00:00:02	00:00:10	00:08:26	00:00:02	00:00:00		00:00:08	00:10:26
163	20:28:42	20:28:42	20:28:43	20:28:43	20:30:21	20:30:21			20:30:23	20:30:23	20:30:33	20:30:33	20:39:05	20:39:05	20:39:07	20:39:07	20:39:08	20:39:08			20:39:17	20:39:17		00:00:00	00:01:37		00:00:02	00:00:09	00:08:32	00:00:02	00:00:00		00:00:09	00:10:35
164	20:39:17	20:39:17	20:39:18	20:39:18	20:40:52	20:40:52			20:40:55	20:40:55	20:41:05	20:41:05	20:49:32	20:49:32	20:49:34	20:49:34	20:49:35	20:49:35			20:49:44	20:49:44		00:00:01	00:01:33		00:00:02	00:00:10	00:08:26	00:00:02	00:00:00		00:00:09	00:10:26
165	20:49:44	20:49:44	20:49:46	20:49:46	20:51:23	20:51:23			20:51:25	20:51:25	20:51:35	20:51:35	21:00:07	21:00:07	21:00:10	21:00:10	21:00:10	21:00:10			21:00:19	21:00:19		00:00:02	00:01:36		00:00:02	00:00:09	00:08:32	00:00:02	00:00:00		00:00:08	00:10:34
166	21:00:19	21:00:19	21:00:20	21:00:20	21:01:57	21:01:57			21:02:00	21:02:00	21:02:11	21:02:11	21:10:45	21:10:45	21:10:47	21:10:47	21:10:48	21:10:48			21:10:58	21:10:58		00:00:01	00:01:36		00:00:02	00:00:11	00:08:33	00:00:02	00:00:00		00:00:10	00:10:39
167	21:10:58	21:10:58	21:11:00	21:11:00	21:12:41	21:12:41			21:12:43	21:12:43	21:12:53	21:12:53	21:21:20	21:21:20	21:21:23	21:21:23	21:21:24	21:21:24			21:21:33	21:21:33		00:00:01	00:01:41		00:00:02	00:00:09	00:08:26	00:00:02	00:00:00		00:00:09	00:10:34
168	21:21:33	21:21:33	21:21:34	21:21:34	21:23:15	21:23:15			21:23:17	21:23:17	21:23:26	21:23:26	21:31:53	21:31:53	21:31:56	21:31:56	21:31:56	21:31:56			21:32:06	21:32:06		00:00:01	00:01:40		00:00:02	00:00:09	00:08:27	00:00:02	00:00:00		00:00:09	00:10:33
169	21:32:07	21:32:07	21:32:08	21:32:08	21:33:41	21:33:41			21:33:43	21:33:43	21:33:53	21:33:53	21:42:27	21:42:27	21:42:30	21:42:30	21:42:31	21:42:31			21:42:40	21:42:40		00:00:01	00:01:33		00:00:02	00:00:10	00:08:34	00:00:02	00:00:00		00:00:08	00:10:33
170	21:42:40	21:42:40	21:42:41	21:42:41	21:44:16	21:44:16			21:44:19	21:44:19	21:44:30	21:44:30	21:53:06	21:53:06	21:53:08	21:53:08	21:53:09	21:53:09	21:53:09	21:53:09	21:54:52	21:54:52		00:00:01	00:01:35		00:00:02	00:00:10	00:08:36	00:00:02	00:00:00	00:00:00	00:01:43	00:12:11
171	21:54:52	21:54:52	21:54:53	21:54:53	21:56:31	21:56:31			21:56:33	21:56:33	21:56:44	21:56:44	22:05:13	22:05:13	22:05:15	22:05:15	22:05:16	22:05:16			22:05:25	22:05:25		00:00:01	00:01:37		00:00:02	00:00:10	00:08:29	00:00:02	00:00:00		00:00:08	00:10:32
172	22:05:25	22:05:25	22:05:26	22:05:26	22:07:04	22:07:04			22:07:07	22:07:07	22:07:17	22:07:17	22:15:48	22:15:48	22:15:50	22:15:50	22:15:51	22:15:51			22:16:00	22:16:00		00:00:00	00:01:38		00:00:02	00:00:10	00:08:30	00:00:02	00:00:00		00:00:09	00:10:34
173	22:16:00	22:16:00	22:16:01	22:16:01	22:17:40	22:17:40			22:17:42	22:17:42	22:17:52	22:17:52	22:26:18	22:26:18	22:26:22	22:26:22	22:26:22	22:26:22			22:26:31	22:26:32		00:00:00	00:01:39		00:00:02	00:00:09	00:08:26	00:00:03	00:00:00		00:00:08	00:10:31
174	22:26:32	22:26:32	22:26:33	22:26:33	22:28:07	22:28:07			22:28:10	22:28:10	22:28:21	22:28:21	22:36:50	22:36:50	22:36:52	22:36:52	22:36:52	22:36:52			22:37:02	22:37:02		00:00:00	00:01:34		00:00:02	00:00:10	00:08:29	00:00:01	00:00:00		00:00:09	00:10:30
175	22:37:02	22:37:02	22:37:03	22:37:03	22:38:41	22:38:41			22:38:43	22:38:43	22:38:53	22:38:53	22:47:19	22:47:19	22:47:21	22:47:21	22:47:22	22:47:22			22:47:31	22:47:31		00:00:00	00:01:38		00:00:02	00:00:09	00:08:26	00:00:02	00:00:00		00:00:08	00:10:28
176	22:47:31	22:47:31	22:47:32	22:47:32	22:49:09	22:49:09			22:49:11	22:49:11	22:49:22	22:49:22	22:57:50	22:57:50	22:57:52	22:57:52	22:57:53	22:57:53			22:58:02	22:58:02		00:00:00	00:01:36		00:00:02	00:00:10	00:08:28	00:00:02	00:00:00		00:00:09	00:10:30
177	22:58:02	22:58:02	22:58:03	22:58:03	22:59:40	22:59:40			22:59:42	22:59:42	22:59:53	22:59:53	23:08:27	23:08:27	23:08:30	23:08:30	23:08:30	23:08:30			23:08:40	23:08:40		00:00:00	00:01:36		00:00:02	00:00:10	00:08:34	00:00:02	00:00:00		00:00:09	00:10:37
178	23:08:40	23:08:40	23:08:41	23:08:41	23:10:23	23:10:23			23:10:26	23:10:26	23:10:35	23:10:35	23:19:01	23:19:01	23:19:03	23:19:03	23:19:04	23:19:04			23:19:13	23:19:13		00:00:01	00:01:42		00:00:02	00:00:09	00:08:25	00:00:02	00:00:00		00:00:09	00:10:33
179	23:19:14	23:19:14	23:19:17	23:19:17	23:20:56	23:20:56			23:20:58	23:20:58	23:21:09	23:21:09	23:29:39	23:29:39	23:29:42	23:29:42	23:29:42	23:29:42			23:29:52	23:29:52		00:00:03	00:01:39		00:00:02	00:00:10	00:08:30	00:00:02	00:00:00		00:00:09	00:10:38
180	23:29:52	23:29:52	23:29:53	23:29:53	23:31:30	23:31:30			23:31:32	23:31:32	23:31:42	23:31:42	23:40:10	23:40:10	23:40:13	23:40:13	23:40:13	23:40:13	23:40:14	23:40:14	23:41:57	23:41:57		00:00:01	00:01:37		00:00:01	00:00:10	00:08:27	00:00:02	00:00:00	00:00:00	00:01:43	00:12:04
181	23:41:57	23:41:57	23:41:58	23:41:58	23:43:33	23:43:33			23:43:36	23:43:36	23:43:47	23:43:47	23:52:13	23:52:13	23:52:15	23:52:15	23:52:16	23:52:16			23:52:25	23:52:25		00:00:01	00:01:34		00:00:02	00:00:10	00:08:26	00:00:02	00:00:00		00:00:09	00:10:28
182	23:52:25	23:52:25	23:52:26	23:52:26	23:54:02	23:54:02			23:54:05	23:54:05	23:54:16	23:54:16	00:02:48	00:02:48	00:02:50	00:02:50	00:02:51	00:02:51			00:03:01	00:03:01		00:00:00	00:01:36		00:00:02	00:00:11	00:08:31	00:00:02	00:00:00		00:00:09	00:10:35
183	00:03:01	00:03:01	00:03:02	00:03:02	00:04:40	00:04:40			00:04:43	00:04:43	00:04:53	00:04:53	00:13:17	00:13:17	00:13:19	00:13:19	00:13:20	00:13:20			00:13:28	00:13:28		00:00:00	00:01:38		00:00:02	00:00:10	00:08:23	00:00:02	00:00:00		00:00:08	00:10:27
184	00:13:29	00:13:29	00:13:30	00:13:30	00:15:05	00:15:05			00:15:08	00:15:08	00:15:18	00:15:18	00:23:54	00:23:54	00:23:56	00:23:56	00:23:57	00:23:57			00:24:05	00:24:05		00:00:00	00:01:35		00:00:02	00:00:10	00:08:35	00:00:02	00:00:00		00:00:08	00:10:36
185	00:24:06	00:24:06	00:24:08	00:24:08	00:25:43	00:25:43			00:25:46	00:25:46	00:25:56	00:25:56	00:34:25	00:34:25	00:34:28	00:34:28	00:34:28	00:34:28			00:34:37	00:34:37		00:00:02	00:01:35		00:00:02	00:00:10	00:08:29	00:00:02	00:00:00		00:00:08	00:10:31
186	00:34:37	00:34:37	00:34:39	00:34:39	00:36:16	00:36:16			00:36:18	00:36:18	00:36:28	00:36:28	00:45:02	00:45:02	00:45:04	00:45:04	00:45:05	00:45:05			00:45:14	00:45:14		00:00:01	00:01:36		00:00:02	00:00:10	00:08:33	00:00:02	00:00:00		00:00:09	00:10:36
187	00:45:15	00:45:15	00:45:16	00:45:16	00:46:52	00:46:52			00:46:55	00:46:55	00:47:04	00:47:04	00:55:31	00:55:31	00:55:34	00:55:34	00:55:35	00:55:35			00:55:45	00:55:45		00:00:01	00:01:36		00:00:02	00:00:09	00:08:27	00:00:02	00:00:00		00:00:10	00:10:30
188	00:55:45	00:55:45	00:55:46	00:55:46	00:57:26	00:57:26			00:57:28	00:57:28	00:57:38	00:57:38	01:06:08	01:06:08	01:06:11	01:06:11	01:06:12	01:06:12			01:06:21	01:06:21		00:00:01	00:01:39		00:00:02	00:00:10	00:08:29	00:00:03	00:00:00		00:00:09	00:10:35
189	01:06:21	01:06:21	01:06:22	01:06:22	01:07:59	01:07:59			01:08:01	01:08:01	01:08:11	01:08:11	01:16:47	01:16:47	01:16:51	01:16:51	01:16:51	01:16:51			01:17:02	01:17:02		00:00:01	00:01:36		00:00:02	00:00:10	00:08:35	00:00:03	00:00:00		00:00:10	00:10:40
190	01:17:02	01:17:02	01:17:03	01:17:03	01:18:41	01:18:41			01:18:44	01:18:44	01:18:56	01:18:56	01:27:22	01:27:22	01:27:24	01:27:24	01:27:25	01:27:25	01:27:25	01:27:25	01:29:05	01:29:05		00:00:00	00:01:38		00:00:02	00:00:11	00:08:26	00:00:02	00:00:00	00:00:00	00:01:40	00:12:03
191	01:29:05	01:29:05	01:29:06	01:29:06	01:30:41	01:30:41			01:30:42	01:30:42	01:30:50	01:30:50	01:39:26	01:39:26	01:39:28	01:39:28	01:39:28	01:39:28			01:39:38	01:39:38		00:00:01	00:01:34		00:00:01	00:00:07	00:08:35	00:00:01	00:00:00		00:00:09	00:10:32
192	01:39:38	01:39:38	01:39:39	01:39:39	01:41:17	01:41:17			01:41:19	01:41:19	01:41:30	01:41:30	01:49:54	01:49:54	01:49:57	01:49:57	01:49:58	01:49:58			01:50:07	01:50:07		00:00:00	00:01:38		00:00:02	00:00:10	00:08:24	00:00:02	00:00:00		00:00:09	00:10:28
193	01:50:07	01:50:07	01:50:08	01:50:08	01:51:45	01:51:45			01:51:47	01:51:47	01:51:58	01:51:58	02:00:33	02:00:33	02:00:35	02:00:35	02:00:36	02:00:36			02:00:44	02:00:44		00:00:00	00:01:37		00:00:02	00:00:10	00:08:35	00:00:02	00:00:00		00:00:08	00:10:37
194	02:00:45	02:00:45	02:00:47	02:00:47	02:02:25	02:02:25			02:02:27	02:02:27	02:02:38	02:02:38	02:11:03	02:11:03	02:11:06	02:11:06	02:11:06	02:11:06			02:11:15	02:11:15		00:00:02	00:01:37		00:00:02	00:00:10	00:08:25	00:00:02	00:00:00		00:00:08	00:10:30
195	02:11:15	02:11:15	02:11:17	02:11:17	02:12:53	02:12:53			02:12:55	02:12:55	02:13:05	02:13:05	02:21:41	02:21:41	02:21:44	02:21:44	02:21:44	02:21:44			02:21:54	02:21:54		00:00:01	00:01:35		00:00:02	00:00:09	00:08:36	00:00:02	00:00:00		00:00:09	00:10:38
196	02:21:54	02:21:54	02:21:56	02:21:56	02:23:29	02:23:29			02:23:31	02:23:31	02:23:38	02:23:38	02:32:28	02:32:28	02:32:30	02:32:30	02:32:31	02:32:31			02:32:42	02:32:42		00:00:02	00:01:32		00:00:01	00:00:07	00:08:50	00:00:02	00:00:00		00:00:10	00:10:47
197	02:32:42	02:32:42	02:32:43	02:32:43	02:34:19	02:34:19			02:34:22	02:34:22	02:34:32	02:34:32	02:42:59	02:42:59	02:43:01	02:43:01	02:43:02	02:43:02			02:43:11	02:43:11		00:00:00	00:01:36		00:00:02	00:00:10	00:08:26	00:00:02	00:00:00		00:00:08	00:10:28
198	02:43:11	02:43:11	02:43:12	02:43:12	02:44:53	02:44:53			02:44:55	02:44:55	02:45:05	02:45:05	02:53:33	02:53:33	02:53:35	02:53:35	02:53:36	02:53:36			02:53:45	02:53:45		00:00:01	00:01:40		00:00:02	00:00:09	00:08:27	00:00:02	00:00:00		00:00:09	00:10:33
199	02:53:45	02:53:45	02:53:46	02:53:46	02:55:27	02:55:27			02:55:29	02:55:29	02:55:39	02:55:39	03:04:06	03:04:06	03:04:08	03:04:08	03:04:09	03:04:09			03:04:18	03:04:18		00:00:01	00:01:40		00:00:02	00:00:10	00:08:27	00:00:02	00:00:00		00:00:09	00:10:33
200	03:04:19	03:04:19	03:04:20	03:04:20	03:05:58	03:05:58	03:05:58	03:11:35	03:11:36	03:11:36	03:11:44	03:11:44	03:24:25	03:24:25	03:24:27	03:24:27	03:24:28	03:24:28	03:24:28	03:24:28	03:26:10	03:26:10		00:00:01	00:01:38	00:05:36	00:05:38	00:00:07	00:12:40	00:00:02	00:00:00	00:00:00	00:01:42	00:21:51
201	03:26:10	03:26:10	03:26:11	03:26:11	03:27:50	03:27:50			03:27:52	03:27:52	03:28:02	03:28:02	03:36:41	03:36:41	03:36:44	03:36:44	03:36:45	03:36:45			03:36:55	03:36:55		00:00:00	00:01:38		00:00:02	00:00:10	00:08:38	00:00:03	00:00:00		00:00:09	00:10:45
202	03:36:55	03:36:55	03:36:56	03:36:56	03:38:35	03:38:35			03:38:38	03:38:38	03:38:49	03:38:49	03:47:20	03:47:20	03:47:22	03:47:22	03:47:23	03:47:23			03:47:32	03:47:32		00:00:00	00:01:39		00:00:02	00:00:10	00:08:30	00:00:02	00:00:00		00:00:09	00:10:36
203	03:47:32	03:47:32	03:47:33	03:47:33	03:49:14	03:49:14			03:49:16	03:49:16	03:49:26	03:49:26	03:57:59	03:57:59	03:58:01	03:58:01	03:58:02	03:58:02			03:58:11	03:58:11		00:00:00	00:01:40		00:00:02	00:00:09	00:08:33	00:00:02	00:00:00		00:00:08	00:10:38
204	03:58:11	03:58:11	03:58:12	03:58:12	03:59:47	03:59:47			03:59:50	03:59:50	04:00:00	04:00:00	04:08:37	04:08:37	04:08:40	04:08:40	04:08:40	04:08:40			04:08:50	04:08:50		00:00:00	00:01:35		00:00:02	00:00:10	00:08:36	00:00:02	00:00:00		00:00:09	00:10:38
205	04:08:50	04:08:50	04:08:51	04:08:51	04:10:30	04:10:30			04:10:33	04:10:33	04:10:43	04:10:43	04:19:05	04:19:05	04:19:07	04:19:07	04:19:08	04:19:08			04:19:17	04:19:17		00:00:01	00:01:39		00:00:02	00:00:10	00:08:22	00:00:02	00:00:00		00:00:08	00:10:26
206	04:19:17	04:19:17	04:19:18	04:19:18	04:20:57	04:20:57			04:20:59	04:20:59	04:21:10	04:21:10	04:29:33	04:29:33	04:29:35	04:29:35	04:29:35	04:29:35			04:29:44	04:29:44		00:00:00	00:01:39		00:00:02	00:00:10	00:08:22	00:00:01	00:00:00		00:00:08	00:10:26
207	04:29:44	04:29:44	04:29:45	04:29:45	04:31:21	04:31:21			04:31:23	04:31:23	04:31:34	04:31:34	04:40:06	04:40:06	04:40:08	04:40:08	04:40:09	04:40:09			04:40:19	04:40:19		00:00:00	00:01:35		00:00:02	00:00:10	00:08:32	00:00:02	00:00:00		00:00:10	00:10:35
208	04:40:19	04:40:19	04:40:20	04:40:20	04:41:57	04:41:57			04:41:59	04:41:59	04:42:09	04:42:09	04:50:33	04:50:33	04:50:35	04:50:35	04:50:36	04:50:36			04:50:45	04:50:45		00:00:00	00:01:36		00:00:02	00:00:09	00:08:23	00:00:02	00:00:00		00:00:09	00:10:25
209	04:50:45	04:50:45	04:50:46	04:50:46	04:52:23	04:52:23			04:52:25	04:52:25	04:52:36	04:52:36	05:01:17	05:01:17	05:01:21	05:01:21	05:01:22	05:01:22			05:01:32	05:01:32		00:00:00	00:01:36		00:00:02	00:00:11	00:08:41	00:00:03	00:00:00		00:00:09	00:10:46
210	05:01:32	05:01:32	05:01:34	05:01:34	05:03:10	05:03:10			05:03:12	05:03:12	05:03:24	05:03:24	05:11:51	05:11:51	05:11:54	05:11:54	05:11:54	05:11:54	05:11:54	05:11:54	05:13:36	05:13:36		00:00:01	00:01:36		00:00:02	00:00:11	00:08:27	00:00:02	00:00:00	00:00:00	00:01:42	00:12:03
211	05:13:37	05:13:37	05:13:38	05:13:38	05:15:16	05:15:16			05:15:18	05:15:18	05:15:29	05:15:29	05:23:59	05:23:59	05:24:01	05:24:01	05:24:02	05:24:02			05:24:12	05:24:12		00:00:01	00:01:38		00:00:02	00:00:10	00:08:30	00:00:02	00:00:00		00:00:09	00:10:35
212	05:24:12	05:24:12	05:24:13	05:24:13	05:25:48	05:25:48			05:25:50	05:25:50	05:26:01	05:26:01	05:34:34	05:34:34	05:34:36	05:34:36	05:34:36	05:34:36			05:34:46	05:34:46		00:00:00	00:01:35		00:00:02	00:00:10	00:08:32	00:00:02	00:00:00		00:00:09	00:10:33
213	05:34:46	05:34:46	05:34:47	05:34:47	05:36:24	05:36:24			05:36:27	05:36:27	05:36:37	05:36:37	05:45:08	05:45:08	05:45:11	05:45:11	05:45:11	05:45:11			05:45:20	05:45:20		00:00:00	00:01:37		00:00:02	00:00:10	00:08:30	00:00:02	00:00:00		00:00:08	00:10:34
214	05:45:20	05:45:20	05:45:21	05:45:21	05:46:59	05:46:59			05:47:02	05:47:02	05:47:11	05:47:11	05:55:44	05:55:44	05:55:47	05:55:47	05:55:48	05:55:48			05:55:57	05:55:57		00:00:00	00:01:38		00:00:02	00:00:09	00:08:33	00:00:02	00:00:00		00:00:09	00:10:36
215	05:55:57	05:55:57	05:55:59	05:55:59	05:57:33	05:57:33			05:57:35	05:57:35	05:57:46	05:57:46	06:06:19	06:06:19	06:06:21	06:06:21	06:06:22	06:06:22			06:06:31	06:06:31		00:00:02	00:01:33		00:00:02	00:00:10	00:08:33	00:00:02	00:00:00		00:00:08	00:10:33
216	06:06:31	06:06:31	06:06:34	06:06:34	06:08:09	06:08:09			06:08:10	06:08:10	06:08:18	06:08:18	06:17:00	06:17:00	06:17:02	06:17:02	06:17:03	06:17:03			06:17:12	06:17:12		00:00:02	00:01:34		00:00:01	00:00:07	00:08:41	00:00:02	00:00:00		00:00:09	00:10:40
217	06:17:12	06:17:12	06:17:13	06:17:13	06:18:51	06:18:51			06:18:54	06:18:54	06:19:05	06:19:05	06:27:35	06:27:35	06:27:38	06:27:38	06:27:39	06:27:39			06:27:48	06:27:48		00:00:01	00:01:37		00:00:02	00:00:10	00:08:30	00:00:03	00:00:00		00:00:09	00:10:35
218	06:27:48	06:27:48	06:27:49	06:27:49	06:29:26	06:29:26			06:29:28	06:29:28	06:29:39	06:29:39	06:38:17	06:38:17	06:38:20	06:38:20	06:38:21	06:38:21			06:38:32	06:38:32		00:00:01	00:01:36		00:00:02	00:00:10	00:08:38	00:00:03	00:00:01		00:00:10	00:10:43
219	06:38:32	06:38:32	06:38:33	06:38:33	06:40:14	06:40:14			06:40:17	06:40:17	06:40:27	06:40:27	06:48:57	06:48:57	06:49:00	06:49:00	06:49:00	06:49:00			06:49:09	06:49:09		00:00:01	00:01:41		00:00:02	00:00:10	00:08:29	00:00:02	00:00:00		00:00:09	00:10:37
220	06:49:10	06:49:10	06:49:12	06:49:12	06:50:50	06:50:50			06:50:52	06:50:52	06:51:02	06:51:02	06:59:30	06:59:30	06:59:33	06:59:33	06:59:33	06:59:33	06:59:34	06:59:34	07:01:16	07:01:16		00:00:02	00:01:37		00:00:02	00:00:10	00:08:28	00:00:02	00:00:00	00:00:00	00:01:42	00:12:06
221	07:01:17	07:01:17	07:01:18	07:01:18	07:03:00	07:03:00			07:03:02	07:03:02	07:03:13	07:03:13	07:11:45	07:11:45	07:11:47	07:11:47	07:11:48	07:11:48			07:11:57	07:11:57		00:00:01	00:01:41		00:00:02	00:00:11	00:08:31	00:00:02	00:00:00		00:00:08	00:10:39
222	07:11:57	07:11:57	07:11:58	07:11:58	07:13:35	07:13:35			07:13:37	07:13:37	07:13:48	07:13:48	07:22:16	07:22:16	07:22:18	07:22:18	07:22:19	07:22:19			07:22:28	07:22:28		00:00:01	00:01:37		00:00:02	00:00:10	00:08:28	00:00:02	00:00:00		00:00:09	00:10:31
223	07:22:28	07:22:28	07:22:29	07:22:29	07:24:05	07:24:05			07:24:08	07:24:08	07:24:19	07:24:19	07:32:44	07:32:44	07:32:46	07:32:46	07:32:47	07:32:47			07:32:56	07:32:56		00:00:00	00:01:35		00:00:02	00:00:10	00:08:25	00:00:02	00:00:00		00:00:09	00:10:27
224	07:32:56	07:32:56	07:32:57	07:32:57	07:34:33	07:34:33			07:34:35	07:34:35	07:34:46	07:34:46	07:43:28	07:43:28	07:43:31	07:43:31	07:43:32	07:43:32			07:43:41	07:43:41		00:00:00	00:01:36		00:00:02	00:00:10	00:08:42	00:00:02	00:00:00		00:00:09	00:10:44
225	07:43:41	07:43:41	07:43:43	07:43:43	07:45:16	07:45:16			07:45:18	07:45:18	07:45:28	07:45:28	07:53:55	07:53:55	07:53:58	07:53:58	07:53:59	07:53:59			07:54:07	07:54:07		00:00:02	00:01:32		00:00:02	00:00:10	00:08:27	00:00:02	00:00:00		00:00:08	00:10:26
226	07:54:08	07:54:08	07:54:11	07:54:11	07:55:49	07:55:49			07:55:51	07:55:51	07:56:01	07:56:01	08:04:50	08:04:50	08:04:52	08:04:52	08:04:53	08:04:53			08:05:02	08:05:02		00:00:02	00:01:38		00:00:02	00:00:09	00:08:48	00:00:02	00:00:00		00:00:09	00:10:54
227	08:05:02	08:05:02	08:05:03	08:05:03	08:06:42	08:06:42			08:06:44	08:06:44	08:06:51	08:06:51	08:15:29	08:15:29	08:15:31	08:15:31	08:15:31	08:15:31			08:15:41	08:15:41		00:00:01	00:01:38		00:00:01	00:00:07	00:08:37	00:00:01	00:00:00		00:00:09	00:10:38
228	08:15:41	08:15:41	08:15:42	08:15:42	08:17:22	08:17:22			08:17:24	08:17:24	08:17:35	08:17:35	08:26:08	08:26:08	08:26:10	08:26:10	08:26:11	08:26:11			08:26:21	08:26:21		00:00:00	00:01:40		00:00:02	00:00:10	00:08:33	00:00:02	00:00:00		00:00:09	00:10:39
229	08:26:21	08:26:21	08:26:22	08:26:22	08:28:00	08:28:00			08:28:03	08:28:03	08:28:14	08:28:14	08:36:42	08:36:42	08:36:45	08:36:45	08:36:45	08:36:45			08:36:55	08:36:55		00:00:00	00:01:38		00:00:02	00:00:10	00:08:28	00:00:02	00:00:00		00:00:09	00:10:33
230	08:36:55	08:36:55	08:36:56	08:36:56	08:38:33	08:38:33			08:38:35	08:38:35	08:38:45	08:38:45	08:47:15	08:47:15	08:47:19	08:47:19	08:47:20	08:47:20	08:47:20	08:47:20	08:48:56	08:48:56		00:00:00	00:01:36		00:00:02	00:00:10	00:08:29	00:00:04	00:00:00	00:00:00	00:01:36	00:12:01
231	08:48:56	08:48:56	08:48:57	08:48:57	08:50:39	08:50:39			08:50:41	08:50:41	08:50:49	08:50:49	08:59:31	08:59:31	08:59:33	08:59:33	08:59:33	08:59:33			08:59:42	08:59:42		00:00:01	00:01:41		00:00:01	00:00:08	00:08:41	00:00:02	00:00:00		00:00:08	00:10:46
232	08:59:42	08:59:42	08:59:43	08:59:43	09:01:19	09:01:19			09:01:21	09:01:21	09:01:28	09:01:28	09:10:18	09:10:18	09:10:20	09:10:20	09:10:20	09:10:20			09:10:29	09:10:29		00:00:00	00:01:35		00:00:01	00:00:07	00:08:49	00:00:01	00:00:00		00:00:08	00:10:46
233	09:10:29	09:10:29	09:10:30	09:10:30	09:12:10	09:12:10			09:12:12	09:12:12	09:12:22	09:12:22	09:20:55	09:20:55	09:20:58	09:20:58	09:20:58	09:20:58			09:21:07	09:21:07		00:00:00	00:01:40		00:00:02	00:00:09	00:08:33	00:00:02	00:00:00		00:00:08	00:10:38
234	09:21:08	09:21:08	09:21:09	09:21:09	09:22:45	09:22:45			09:22:47	09:22:47	09:22:58	09:22:58	09:31:35	09:31:35	09:31:37	09:31:37	09:31:37	09:31:37			09:31:46	09:31:46		00:00:01	00:01:36		00:00:02	00:00:10	00:08:36	00:00:02	00:00:00		00:00:08	00:10:38
235	09:31:46	09:31:46	09:31:47	09:31:47	09:33:26	09:33:26			09:33:29	09:33:29	09:33:39	09:33:39	09:42:04	09:42:04	09:42:06	09:42:06	09:42:07	09:42:07			09:42:18	09:42:18		00:00:00	00:01:39		00:00:02	00:00:10	00:08:25	00:00:02	00:00:00		00:00:10	00:10:31
236	09:42:18	09:42:18	09:42:21	09:42:21	09:43:55	09:43:55			09:43:58	09:43:58	09:44:08	09:44:08	09:52:34	09:52:34	09:52:37	09:52:37	09:52:37	09:52:37			09:52:47	09:52:47		00:00:02	00:01:34		00:00:02	00:00:10	00:08:26	00:00:02	00:00:00		00:00:09	00:10:29
237	09:52:47	09:52:47	09:52:48	09:52:48	09:54:26	09:54:26			09:54:29	09:54:29	09:54:39	09:54:39	10:03:20	10:03:20	10:03:24	10:03:24	10:03:25	10:03:25			10:03:36	10:03:36		00:00:01	00:01:38		00:00:02	00:00:10	00:08:41	00:00:03	00:00:01		00:00:11	00:10:48
238	10:03:36	10:03:36	10:03:37	10:03:37	10:05:19	10:05:19			10:05:22	10:05:22	10:05:32	10:05:32	10:13:59	10:13:59	10:14:02	10:14:02	10:14:03	10:14:03			10:14:13	10:14:13		00:00:01	00:01:42		00:00:02	00:00:10	00:08:26	00:00:02	00:00:00		00:00:10	00:10:36
