Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
27	19:37:04	19:37:04	19:37:05	19:37:05	19:38:38	19:38:38			19:38:41	19:38:41	19:38:50	19:38:50	19:47:17	19:47:17	19:47:20	19:47:20	19:47:21	19:47:21			19:47:29	19:47:29		00:00:00	00:01:33		00:00:02	00:00:08	00:08:27	00:00:02	00:00:00		00:00:08	00:10:25
28	19:47:30	19:47:30	19:47:30	19:47:30	19:49:01	19:49:01			19:49:03	19:49:03	19:49:13	19:49:13	19:57:38	19:57:38	19:57:41	19:57:41	19:57:41	19:57:41			19:57:49	19:57:49		00:00:00	00:01:30		00:00:02	00:00:09	00:08:25	00:00:02	00:00:00		00:00:07	00:10:19
29	19:57:49	19:57:49	19:57:50	19:57:50	19:59:22	19:59:22			19:59:24	19:59:24	19:59:33	19:59:33	20:07:57	20:07:57	20:07:58	20:07:58	20:07:59	20:07:59			20:08:08	20:08:08		00:00:01	00:01:31		00:00:02	00:00:08	00:08:23	00:00:01	00:00:00		00:00:08	00:10:18
30	20:08:08	20:08:08	20:08:09	20:08:09	20:09:44	20:09:44			20:09:46	20:09:46	20:09:56	20:09:56	20:18:28	20:18:28	20:18:31	20:18:31	20:18:31	20:18:31	20:18:32	20:18:32	20:20:17	20:20:17		00:00:01	00:01:34		00:00:02	00:00:09	00:08:32	00:00:02	00:00:00	00:00:00	00:01:45	00:12:09
31	20:20:17	20:20:17	20:20:18	20:20:18	20:21:49	20:21:49			20:21:52	20:21:52	20:22:01	20:22:01	20:30:33	20:30:33	20:30:35	20:30:35	20:30:36	20:30:36			20:30:44	20:30:44		00:00:01	00:01:31		00:00:02	00:00:09	00:08:32	00:00:02	00:00:00		00:00:07	00:10:26
32	20:30:44	20:30:44	20:30:46	20:30:46	20:32:20	20:32:20			20:32:22	20:32:22	20:32:31	20:32:31	20:40:53	20:40:53	20:40:56	20:40:56	20:40:56	20:40:56			20:41:04	20:41:04		00:00:01	00:01:34		00:00:02	00:00:09	00:08:22	00:00:02	00:00:00		00:00:07	00:10:19
33	20:41:04	20:41:04	20:41:05	20:41:05	20:42:38	20:42:38			20:42:40	20:42:40	20:42:50	20:42:50	20:51:17	20:51:17	20:51:21	20:51:21	20:51:21	20:51:21			20:51:29	20:51:29		00:00:00	00:01:33		00:00:02	00:00:09	00:08:27	00:00:03	00:00:00		00:00:07	00:10:24
34	20:51:29	20:51:29	20:51:31	20:51:31	20:53:04	20:53:04			20:53:06	20:53:06	20:53:16	20:53:16	21:01:37	21:01:37	21:01:39	21:01:39	21:01:40	21:01:40			21:01:47	21:01:47		00:00:02	00:01:33		00:00:02	00:00:09	00:08:21	00:00:02	00:00:00		00:00:06	00:10:17
35	21:01:47	21:01:47	21:01:48	21:01:48	21:03:19	21:03:19			21:03:21	21:03:21	21:03:31	21:03:31	21:12:02	21:12:02	21:12:04	21:12:04	21:12:05	21:12:05			21:12:12	21:12:12		00:00:00	00:01:31		00:00:02	00:00:09	00:08:31	00:00:02	00:00:00		00:00:07	00:10:25
36	21:12:12	21:12:12	21:12:13	21:12:13	21:13:49	21:13:49			21:13:51	21:13:51	21:14:00	21:14:00	21:22:28	21:22:28	21:22:30	21:22:30	21:22:31	21:22:31			21:22:39	21:22:39		00:00:00	00:01:35		00:00:02	00:00:09	00:08:27	00:00:02	00:00:00		00:00:08	00:10:27
37	21:22:40	21:22:40	21:22:41	21:22:41	21:24:12	21:24:12			21:24:14	21:24:14	21:24:25	21:24:25	21:32:51	21:32:51	21:32:53	21:32:53	21:32:53	21:32:53			21:33:02	21:33:02		00:00:00	00:01:31		00:00:02	00:00:10	00:08:25	00:00:02	00:00:00		00:00:08	00:10:22
38	21:33:02	21:33:02	21:33:03	21:33:03	21:34:37	21:34:37			21:34:40	21:34:40	21:34:50	21:34:50	21:43:15	21:43:15	21:43:18	21:43:18	21:43:19	21:43:19			21:43:27	21:43:27		00:00:00	00:01:34		00:00:02	00:00:09	00:08:25	00:00:03	00:00:00		00:00:08	00:10:24
39	21:43:27	21:43:27	21:43:28	21:43:28	21:44:59	21:44:59			21:45:01	21:45:01	21:45:11	21:45:11	21:53:47	21:53:47	21:53:50	21:53:50	21:53:51	21:53:51			21:53:59	21:53:59		00:00:00	00:01:30		00:00:02	00:00:10	00:08:36	00:00:02	00:00:00		00:00:07	00:10:31
40	21:53:59	21:53:59	21:54:00	21:54:00	21:55:33	21:55:33			21:55:35	21:55:35	21:55:46	21:55:46	22:04:06	22:04:06	22:04:08	22:04:08	22:04:09	22:04:09	22:04:09	22:04:09	22:05:48	22:05:48		00:00:00	00:01:33		00:00:02	00:00:10	00:08:20	00:00:02	00:00:00	00:00:00	00:01:39	00:11:49
41	22:05:49	22:05:49	22:05:50	22:05:50	22:07:20	22:07:20			22:07:22	22:07:22	22:07:29	22:07:29	22:16:19	22:16:19	22:16:21	22:16:21	22:16:22	22:16:22			22:16:30	22:16:30		00:00:01	00:01:29		00:00:01	00:00:07	00:08:50	00:00:02	00:00:00		00:00:08	00:10:41
42	22:16:30	22:16:30	22:16:31	22:16:31	22:18:03	22:18:03			22:18:05	22:18:05	22:18:15	22:18:15	22:26:42	22:26:42	22:26:44	22:26:44	22:26:44	22:26:44			22:26:52	22:26:52		00:00:00	00:01:32		00:00:02	00:00:10	00:08:26	00:00:02	00:00:00		00:00:07	00:10:21
43	22:26:52	22:26:52	22:26:53	22:26:53	22:28:25	22:28:25			22:28:27	22:28:27	22:28:37	22:28:37	22:37:15	22:37:15	22:37:17	22:37:17	22:37:18	22:37:18			22:37:26	22:37:26		00:00:00	00:01:32		00:00:02	00:00:09	00:08:38	00:00:02	00:00:00		00:00:07	00:10:33
44	22:37:26	22:37:26	22:37:29	22:37:29	22:39:03	22:39:03			22:39:05	22:39:05	22:39:14	22:39:14	22:47:47	22:47:47	22:47:49	22:47:49	22:47:50	22:47:50			22:47:59	22:47:59		00:00:02	00:01:33		00:00:02	00:00:08	00:08:32	00:00:02	00:00:00		00:00:08	00:10:32
45	22:47:59	22:47:59	22:48:00	22:48:00	22:49:32	22:49:32			22:49:34	22:49:34	22:49:45	22:49:45	22:58:15	22:58:15	22:58:17	22:58:17	22:58:18	22:58:18			22:58:26	22:58:26		00:00:00	00:01:32		00:00:02	00:00:11	00:08:29	00:00:02	00:00:00		00:00:08	00:10:27
46	22:58:26	22:58:26	22:58:28	22:58:28	22:59:59	22:59:59			23:00:01	23:00:01	23:00:10	23:00:10	23:08:50	23:08:50	23:08:53	23:08:53	23:08:53	23:08:53			23:09:02	23:09:02		00:00:02	00:01:30		00:00:02	00:00:09	00:08:39	00:00:02	00:00:00		00:00:08	00:10:35
47	23:09:02	23:09:02	23:09:03	23:09:03	23:10:36	23:10:36			23:10:39	23:10:39	23:10:50	23:10:50	23:19:15	23:19:15	23:19:18	23:19:18	23:19:19	23:19:19			23:19:27	23:19:27		00:00:01	00:01:33		00:00:02	00:00:11	00:08:25	00:00:03	00:00:00		00:00:08	00:10:25
48	23:19:27	23:19:27	23:19:29	23:19:29	23:21:03	23:21:03			23:21:05	23:21:05	23:21:15	23:21:15	23:29:51	23:29:51	23:29:53	23:29:53	23:29:54	23:29:54			23:30:03	23:30:03		00:00:01	00:01:34		00:00:02	00:00:10	00:08:35	00:00:02	00:00:00		00:00:09	00:10:35
49	23:30:03	23:30:03	23:30:05	23:30:05	23:31:38	23:31:38			23:31:41	23:31:41	23:31:50	23:31:50	23:40:31	23:40:31	23:40:34	23:40:34	23:40:34	23:40:34			23:40:44	23:40:44		00:00:01	00:01:32		00:00:02	00:00:09	00:08:41	00:00:02	00:00:00		00:00:09	00:10:40
50	23:40:44	23:40:44	23:40:45	23:40:45	23:42:20	23:42:20	23:42:20	23:48:02	23:48:04	23:48:04	23:48:10	23:48:10	00:00:45	00:00:45	00:00:47	00:00:47	00:00:47	00:00:47	00:00:48	00:00:48	00:02:28	00:02:28		00:00:01	00:01:34	00:05:42	00:05:43	00:00:06	00:12:34	00:00:02	00:00:00	00:00:00	00:01:40	00:21:43
51	00:02:28	00:02:28	00:02:30	00:02:30	00:04:02	00:04:02			00:04:04	00:04:04	00:04:14	00:04:14	00:12:39	00:12:39	00:12:42	00:12:42	00:12:42	00:12:42			00:12:50	00:12:50		00:00:01	00:01:32		00:00:02	00:00:10	00:08:25	00:00:02	00:00:00		00:00:07	00:10:22
52	00:12:50	00:12:50	00:12:52	00:12:52	00:14:26	00:14:26			00:14:28	00:14:28	00:14:37	00:14:37	00:23:15	00:23:15	00:23:18	00:23:18	00:23:18	00:23:18			00:23:27	00:23:27		00:00:01	00:01:33		00:00:02	00:00:09	00:08:38	00:00:02	00:00:00		00:00:08	00:10:36
53	00:23:27	00:23:27	00:23:28	00:23:28	00:25:02	00:25:02			00:25:05	00:25:05	00:25:15	00:25:15	00:34:01	00:34:01	00:34:04	00:34:04	00:34:05	00:34:05			00:34:14	00:34:14		00:00:01	00:01:34		00:00:02	00:00:10	00:08:46	00:00:02	00:00:00		00:00:08	00:10:46
54	00:34:14	00:34:14	00:34:15	00:34:15	00:35:50	00:35:50			00:35:52	00:35:52	00:36:03	00:36:03	00:44:40	00:44:40	00:44:42	00:44:42	00:44:43	00:44:43			00:44:52	00:44:52		00:00:01	00:01:35		00:00:02	00:00:10	00:08:36	00:00:02	00:00:00		00:00:09	00:10:38
55	00:44:52	00:44:53	00:44:54	00:44:54	00:46:29	00:46:29			00:46:31	00:46:31	00:46:43	00:46:43	00:55:26	00:55:26	00:55:28	00:55:28	00:55:29	00:55:29			00:55:36	00:55:36		00:00:01	00:01:35		00:00:02	00:00:11	00:08:42	00:00:02	00:00:00		00:00:07	00:10:43
56	00:55:37	00:55:37	00:55:38	00:55:38	00:57:12	00:57:12			00:57:14	00:57:14	00:57:24	00:57:24	01:06:06	01:06:06	01:06:09	01:06:09	01:06:10	01:06:10			01:06:20	01:06:20		00:00:01	00:01:33		00:00:02	00:00:09	00:08:42	00:00:03	00:00:00		00:00:09	00:10:42
57	01:06:20	01:06:20	01:06:21	01:06:21	01:07:59	01:07:59			01:08:02	01:08:02	01:08:13	01:08:13	01:16:50	01:16:50	01:16:52	01:16:52	01:16:53	01:16:53			01:17:02	01:17:02		00:00:01	00:01:38		00:00:02	00:00:11	00:08:36	00:00:02	00:00:00		00:00:08	00:10:41
58	01:17:02	01:17:02	01:17:03	01:17:03	01:18:41	01:18:41			01:18:44	01:18:44	01:18:55	01:18:55	01:27:44	01:27:44	01:27:47	01:27:47	01:27:47	01:27:47			01:27:57	01:27:57		00:00:01	00:01:38		00:00:02	00:00:11	00:08:48	00:00:02	00:00:00		00:00:09	00:10:55
59	01:27:57	01:27:57	01:27:59	01:27:59	01:29:34	01:29:34			01:29:37	01:29:37	01:29:46	01:29:46	01:38:13	01:38:13	01:38:15	01:38:15	01:38:16	01:38:16			01:38:25	01:38:25		00:00:01	00:01:35		00:00:02	00:00:09	00:08:26	00:00:02	00:00:00		00:00:09	00:10:27
60	01:38:25	01:38:25	01:38:28	01:38:28	01:40:02	01:40:02			01:40:05	01:40:05	01:40:14	01:40:14	01:48:57	01:48:57	01:48:59	01:48:59	01:49:00	01:49:00	01:49:00	01:49:00	01:50:44	01:50:44		00:00:02	00:01:34		00:00:02	00:00:09	00:08:42	00:00:02	00:00:00	00:00:00	00:01:43	00:12:18
61	01:50:44	01:50:44	01:50:45	01:50:45	01:52:14	01:52:14			01:52:16	01:52:16	01:52:26	01:52:26	02:01:12	02:01:12	02:01:14	02:01:14	02:01:15	02:01:15			02:01:25	02:01:25		00:00:01	00:01:28		00:00:02	00:00:10	00:08:45	00:00:02	00:00:00		00:00:09	00:10:40
62	02:01:25	02:01:25	02:01:26	02:01:26	02:03:03	02:03:03			02:03:05	02:03:05	02:03:16	02:03:16	02:12:03	02:12:03	02:12:06	02:12:06	02:12:06	02:12:06			02:12:15	02:12:15		00:00:01	00:01:37		00:00:02	00:00:10	00:08:47	00:00:02	00:00:00		00:00:08	00:10:50
63	02:12:15	02:12:15	02:12:16	02:12:16	02:13:49	02:13:49			02:13:51	02:13:51	02:14:00	02:14:00	02:22:34	02:22:34	02:22:37	02:22:37	02:22:38	02:22:38			02:22:46	02:22:46		00:00:01	00:01:32		00:00:02	00:00:09	00:08:33	00:00:02	00:00:00		00:00:08	00:10:31
64	02:22:47	02:22:47	02:22:48	02:22:48	02:24:24	02:24:24			02:24:26	02:24:26	02:24:35	02:24:35	02:33:03	02:33:03	02:33:05	02:33:05	02:33:06	02:33:06			02:33:16	02:33:16		00:00:01	00:01:35		00:00:02	00:00:09	00:08:27	00:00:02	00:00:00		00:00:09	00:10:28
65	02:33:16	02:33:16	02:33:17	02:33:17	02:34:50	02:34:50			02:34:52	02:34:52	02:35:02	02:35:02	02:43:33	02:43:33	02:43:35	02:43:35	02:43:36	02:43:36			02:43:45	02:43:45		00:00:01	00:01:32		00:00:02	00:00:09	00:08:30	00:00:02	00:00:00		00:00:08	00:10:29
66	02:43:45	02:43:45	02:43:46	02:43:46	02:45:22	02:45:22			02:45:24	02:45:24	02:45:34	02:45:34	02:54:10	02:54:10	02:54:13	02:54:13	02:54:14	02:54:14			02:54:22	02:54:22		00:00:01	00:01:35		00:00:02	00:00:09	00:08:36	00:00:02	00:00:00		00:00:08	00:10:37
67	02:54:23	02:54:23	02:54:24	02:54:24	02:55:53	02:55:53			02:55:55	02:55:55	02:56:04	02:56:04	03:04:31	03:04:31	03:04:33	03:04:33	03:04:34	03:04:34			03:04:43	03:04:43		00:00:01	00:01:29		00:00:01	00:00:09	00:08:26	00:00:02	00:00:00		00:00:09	00:10:20
68	03:04:43	03:04:43	03:04:44	03:04:44	03:06:19	03:06:19			03:06:20	03:06:20	03:06:29	03:06:29	03:15:09	03:15:09	03:15:12	03:15:12	03:15:13	03:15:13			03:15:22	03:15:22		00:00:01	00:01:34		00:00:01	00:00:08	00:08:39	00:00:03	00:00:00		00:00:09	00:10:38
69	03:15:22	03:15:22	03:15:23	03:15:23	03:16:57	03:16:57			03:16:59	03:16:59	03:17:09	03:17:09	03:25:59	03:25:59	03:26:01	03:26:01	03:26:02	03:26:02			03:26:11	03:26:11		00:00:01	00:01:33		00:00:02	00:00:09	00:08:50	00:00:02	00:00:00		00:00:08	00:10:48
70	03:26:11	03:26:11	03:26:12	03:26:12	03:27:46	03:27:46			03:27:48	03:27:48	03:27:56	03:27:56	03:36:35	03:36:35	03:36:37	03:36:37	03:36:38	03:36:38	03:36:38	03:36:38	03:38:24	03:38:24		00:00:01	00:01:34		00:00:01	00:00:07	00:08:39	00:00:02	00:00:00	00:00:00	00:01:45	00:12:12
71	03:38:24	03:38:24	03:38:25	03:38:25	03:39:56	03:39:56			03:39:59	03:39:59	03:40:06	03:40:06	03:48:42	03:48:42	03:48:44	03:48:44	03:48:45	03:48:45			03:48:53	03:48:53		00:00:01	00:01:31		00:00:02	00:00:07	00:08:35	00:00:02	00:00:00		00:00:08	00:10:29
72	03:48:53	03:48:53	03:48:54	03:48:54	03:50:29	03:50:29			03:50:31	03:50:31	03:50:41	03:50:41	03:59:04	03:59:04	03:59:07	03:59:07	03:59:08	03:59:08			03:59:16	03:59:16		00:00:00	00:01:34		00:00:02	00:00:09	00:08:22	00:00:03	00:00:00		00:00:07	00:10:22
73	03:59:16	03:59:16	03:59:17	03:59:17	04:00:50	04:00:50			04:00:52	04:00:52	04:01:02	04:01:02	04:09:45	04:09:45	04:09:47	04:09:47	04:09:48	04:09:48			04:09:57	04:09:57		00:00:01	00:01:32		00:00:02	00:00:10	00:08:42	00:00:02	00:00:00		00:00:08	00:10:40
74	04:09:57	04:09:57	04:09:58	04:09:58	04:11:30	04:11:30			04:11:33	04:11:33	04:11:41	04:11:41	04:20:12	04:20:12	04:20:15	04:20:15	04:20:16	04:20:16			04:20:24	04:20:24		00:00:01	00:01:32		00:00:02	00:00:08	00:08:30	00:00:02	00:00:00		00:00:08	00:10:27
